ENSSTOP00000015577 ENSSTOP00000015707
ENSSTOP00000015577 ENSSTOP00000022793
ENSSTOP00000015577 ENSSTOP00000006073
ENSSTOP00000015707 ENSSTOP00000006073
ENSSTOP00000015707 ENSSTOP00000002981
ENSSTOP00000015707 ENSSTOP00000017575
ENSSTOP00000015707 ENSSTOP00000022789
ENSSTOP00000015707 ENSSTOP00000019048
ENSSTOP00000015707 ENSSTOP00000022793
ENSSTOP00000015707 ENSSTOP00000019111
ENSSTOP00000015707 ENSSTOP00000016128
ENSSTOP00000015707 ENSSTOP00000022003
ENSSTOP00000015707 ENSSTOP00000006185
ENSSTOP00000015707 ENSSTOP00000005301
ENSSTOP00000015707 ENSSTOP00000015878
ENSSTOP00000015707 ENSSTOP00000009472
ENSSTOP00000015707 ENSSTOP00000008053
ENSSTOP00000015707 ENSSTOP00000015577
ENSSTOP00000015707 ENSSTOP00000020448
ENSSTOP00000015764 ENSSTOP00000016809
ENSSTOP00000015764 ENSSTOP00000017567
ENSSTOP00000015764 ENSSTOP00000018805
ENSSTOP00000015764 ENSSTOP00000017456
ENSSTOP00000015764 ENSSTOP00000020318
ENSSTOP00000015764 ENSSTOP00000018670
ENSSTOP00000015789 ENSSTOP00000008551
ENSSTOP00000015878 ENSSTOP00000002981
ENSSTOP00000015878 ENSSTOP00000015577
ENSSTOP00000015878 ENSSTOP00000008053
ENSSTOP00000015878 ENSSTOP00000020448
ENSSTOP00000015878 ENSSTOP00000016128
ENSSTOP00000015878 ENSSTOP00000022789
ENSSTOP00000015878 ENSSTOP00000019048
ENSSTOP00000015878 ENSSTOP00000022793
ENSSTOP00000015878 ENSSTOP00000017575
ENSSTOP00000015878 ENSSTOP00000019111
ENSSTOP00000015878 ENSSTOP00000022003
ENSSTOP00000015878 ENSSTOP00000006073
ENSSTOP00000015878 ENSSTOP00000006185
ENSSTOP00000015878 ENSSTOP00000005301
ENSSTOP00000015878 ENSSTOP00000015707
ENSSTOP00000015878 ENSSTOP00000009472
ENSSTOP00000016128 ENSSTOP00000022003
ENSSTOP00000016128 ENSSTOP00000023869
ENSSTOP00000016128 ENSSTOP00000006073
ENSSTOP00000016128 ENSSTOP00000001402
ENSSTOP00000016128 ENSSTOP00000008053
ENSSTOP00000016128 ENSSTOP00000006185
