GFO_0587 GFO_0309
GFO_0587 GFO_2674
GFO_0587 GFO_2262
GFO_0587 GFO_2697
GFO_0587 GFO_1531
GFO_0587 GFO_0043
GFO_0587 GFO_2397
GFO_0588 GFO_0597
GFO_0588 GFO_2185
GFO_0591 GFO_2550
GFO_0594 GFO_3314
GFO_0594 GFO_2545
GFO_0594 GFO_2258
GFO_0594 GFO_3166
GFO_0594 GFO_0622
GFO_0594 GFO_1415
GFO_0594 GFO_2889
GFO_0594 GFO_1643
GFO_0594 GFO_0432
GFO_0594 GFO_0595
GFO_0594 GFO_1681
GFO_0594 GFO_3521
GFO_0594 GFO_0702
GFO_0594 GFO_2809
GFO_0594 GFO_0735
GFO_0594 GFO_2131
GFO_0594 GFO_3000
GFO_0594 GFO_0703
GFO_0594 GFO_3498
GFO_0594 GFO_2130
GFO_0594 GFO_3386
GFO_0594 GFO_0704
GFO_0594 GFO_2704
GFO_0594 GFO_0294
GFO_0594 GFO_0414
GFO_0594 GFO_1163
GFO_0594 GFO_0384
GFO_0594 GFO_0377
GFO_0595 GFO_1681
GFO_0595 GFO_2704
GFO_0595 GFO_2131
GFO_0595 GFO_0432
GFO_0595 GFO_3521
GFO_0595 GFO_1643
GFO_0595 GFO_0735
GFO_0595 GFO_2889
GFO_0595 GFO_0294
GFO_0595 GFO_2809
GFO_0595 GFO_0702
GFO_0595 GFO_3000
GFO_0595 GFO_0594
GFO_0595 GFO_0704
GFO_0595 GFO_3314
GFO_0595 GFO_3498
GFO_0595 GFO_0384
GFO_0595 GFO_1163
GFO_0595 GFO_0377
GFO_0595 GFO_0414
GFO_0595 GFO_2130
GFO_0595 GFO_0703
GFO_0595 GFO_3386
GFO_0595 GFO_1415
GFO_0595 GFO_2258
GFO_0595 GFO_2545
GFO_0595 GFO_3166
GFO_0595 GFO_0622
GFO_0596 GFO_0352
GFO_0597 GFO_2185
GFO_0597 GFO_0588
GFO_0598 GFO_1507
GFO_0598 GFO_2339
GFO_0598 GFO_2876
GFO_0598 GFO_0383
GFO_0598 GFO_1907
GFO_0598 GFO_3345
GFO_0598 GFO_1680
GFO_0598 GFO_3343
GFO_0598 GFO_2807
GFO_0598 GFO_2888
GFO_0598 GFO_1326
GFO_0598 GFO_3344
GFO_0598 GFO_0276
GFO_0598 GFO_2095
GFO_0598 GFO_0752
GFO_0598 GFO_1768
GFO_0618 GFO_2099
GFO_0618 GFO_1513
GFO_0618 GFO_2167
GFO_0618 GFO_3083
GFO_0618 GFO_0958
GFO_0618 GFO_0391
GFO_0618 GFO_2504
GFO_0618 GFO_2909
GFO_0618 GFO_0726
GFO_0618 GFO_3186
GFO_0618 GFO_1092
GFO_0618 GFO_2931
GFO_0618 GFO_1602
GFO_0618 GFO_1390
GFO_0622 GFO_0594
GFO_0622 GFO_0704
GFO_0622 GFO_1415
GFO_0622 GFO_1162
GFO_0622 GFO_0384
GFO_0622 GFO_0702
GFO_0622 GFO_0595
GFO_0622 GFO_1707
GFO_0622 GFO_0432
GFO_0622 GFO_0735
GFO_0622 GFO_3000
GFO_0622 GFO_0814
GFO_0622 GFO_2704
GFO_0622 GFO_3294
GFO_0622 GFO_0703
GFO_0622 GFO_2130
GFO_0622 GFO_3166
GFO_0622 GFO_2258
GFO_0624 GFO_0341
GFO_0624 GFO_2772
GFO_0624 GFO_0749
GFO_0625 GFO_3624
