XP_002614529.1 XP_002618421.1
XP_002614529.1 XP_002618992.1
XP_002614529.1 XP_002619971.1
XP_002614529.1 XP_002616379.1
XP_002614529.1 XP_002619294.1
XP_002614529.1 XP_002618448.1
XP_002614529.1 XP_002618342.1
XP_002614529.1 XP_002619891.1
XP_002614530.1 XP_002616332.1
XP_002614530.1 XP_002614960.1
XP_002614531.1 XP_002615800.1
XP_002614531.1 XP_002616939.1
XP_002614531.1 XP_002616224.1
XP_002614531.1 XP_002619775.1
XP_002614531.1 XP_002618323.1
XP_002614531.1 XP_002614797.1
XP_002614531.1 XP_002619134.1
XP_002614531.1 XP_002617298.1
XP_002614534.1 XP_002615125.1
XP_002614534.1 XP_002619452.1
XP_002614534.1 XP_002617943.1
XP_002614534.1 XP_002615629.1
XP_002614534.1 XP_002618635.1
XP_002614534.1 XP_002615655.1
XP_002614534.1 XP_002616791.1
XP_002614534.1 XP_002619932.1
XP_002614539.1 XP_002616467.1
XP_002614539.1 XP_002614799.1
XP_002614542.1 XP_002615002.1
XP_002614542.1 XP_002616302.1
XP_002614542.1 XP_002614653.1
XP_002614542.1 XP_002618104.1
XP_002614542.1 XP_002617944.1
XP_002614542.1 XP_002618579.1
XP_002614542.1 XP_002615446.1
XP_002614542.1 XP_002618367.1
XP_002614550.1 XP_002619799.1
XP_002614550.1 XP_002618594.1
XP_002614550.1 XP_002614482.1
XP_002614550.1 XP_002619637.1
XP_002614560.1 XP_002617015.1
XP_002614560.1 XP_002619891.1
XP_002614560.1 XP_002616039.1
XP_002614560.1 XP_002614779.1
XP_002614560.1 XP_002619971.1
XP_002614560.1 XP_002615566.1
XP_002614560.1 XP_002618992.1
XP_002614560.1 XP_002616379.1
XP_002614560.1 XP_002614379.1
XP_002614560.1 XP_002618134.1
XP_002614560.1 XP_002619789.1
XP_002614560.1 XP_002614739.1
XP_002614563.1 XP_002616046.1
XP_002614563.1 XP_002617177.1
XP_002614563.1 XP_002615103.1
XP_002614563.1 XP_002615827.1
XP_002614563.1 XP_002616595.1
XP_002614563.1 XP_002618938.1
XP_002614563.1 XP_002619702.1
XP_002614563.1 XP_002616045.1
XP_002614563.1 XP_002617886.1
XP_002614566.1 XP_002619290.1
XP_002614566.1 XP_002618116.1
XP_002614566.1 XP_002615822.1
XP_002614566.1 XP_002617604.1
XP_002614570.1 XP_002618373.1
XP_002614571.1 XP_002619310.1
