BRLA_c11520 BRLA_c09560
BRLA_c11520 BRLA_c06690
BRLA_c11520 BRLA_c01870
BRLA_c11520 BRLA_c43600
BRLA_c11680 BRLA_c47810
BRLA_c11680 BRLA_c12140
BRLA_c11680 BRLA_c47800
BRLA_c11720 BRLA_c45260
BRLA_c11720 BRLA_c05230
BRLA_c11720 BRLA_c45070
BRLA_c11720 BRLA_c03750
BRLA_c11760 BRLA_c47020
BRLA_c11760 BRLA_c45060
BRLA_c11910 BRLA_c37700
BRLA_c12060 BRLA_c06780
BRLA_c12060 BRLA_c30860
BRLA_c12060 BRLA_c06930
BRLA_c12140 BRLA_c14340
BRLA_c12140 BRLA_c45320
BRLA_c12140 BRLA_c14330
BRLA_c12140 BRLA_c11680
BRLA_c12180 BRLA_c37700
BRLA_c12190 BRLA_c45920
BRLA_c12190 BRLA_c41670
BRLA_c12190 BRLA_c30540
BRLA_c12190 BRLA_c06960
BRLA_c12190 BRLA_c39010
BRLA_c12190 BRLA_c47020
BRLA_c12190 BRLA_c30480
BRLA_c12190 BRLA_c37890
BRLA_c12190 BRLA_c39000
BRLA_c12260 BRLA_c16220
BRLA_c12260 BRLA_c04350
BRLA_c12260 BRLA_c01910
BRLA_c12260 BRLA_c00690
BRLA_c12270 BRLA_c44950
BRLA_c12270 BRLA_c04810
BRLA_c12270 BRLA_c10040
BRLA_c12570 BRLA_c47060
BRLA_c12590 BRLA_c43770
BRLA_c12590 BRLA_c06580
BRLA_c12590 BRLA_c01580
BRLA_c12590 BRLA_c09680
BRLA_c12600 BRLA_c40210
BRLA_c12600 BRLA_c35540
BRLA_c12600 BRLA_c49070
BRLA_c12600 BRLA_c24610
BRLA_c12600 BRLA_c17220
BRLA_c12600 BRLA_c26000
BRLA_c12600 BRLA_c35570
BRLA_c12600 BRLA_c45260
BRLA_c12600 BRLA_c40220
BRLA_c13000 BRLA_c13020
BRLA_c13020 BRLA_c13000
BRLA_c13060 BRLA_c45040
BRLA_c13060 BRLA_c24960
BRLA_c13060 BRLA_c02500
BRLA_c13060 BRLA_c16850
BRLA_c13060 BRLA_c28530
BRLA_c13060 BRLA_c09820
BRLA_c13060 BRLA_c38810
BRLA_c13060 BRLA_c00350
BRLA_c13060 BRLA_c04490
BRLA_c13060 BRLA_c48870
BRLA_c13150 BRLA_c04710
BRLA_c13150 BRLA_c32500
BRLA_c13190 BRLA_c10740
BRLA_c13190 BRLA_c30000
BRLA_c13200 BRLA_c06320
BRLA_c13220 BRLA_c13230
BRLA_c13230 BRLA_c13220
BRLA_c13260 BRLA_c17940
BRLA_c13260 BRLA_c36150
BRLA_c13430 BRLA_c25980
BRLA_c13510 BRLA_c00600
BRLA_c13510 BRLA_c41340
BRLA_c13510 BRLA_c00590
BRLA_c13510 BRLA_c42120
BRLA_c13510 BRLA_c05700
BRLA_c13510 BRLA_c28150
BRLA_c13520 BRLA_c00600
BRLA_c13520 BRLA_c42120
BRLA_c13520 BRLA_c28150
BRLA_c13520 BRLA_c41340
BRLA_c13520 BRLA_c00590
BRLA_c13520 BRLA_c05700
BRLA_c13560 BRLA_c34490
BRLA_c13560 BRLA_c45360
BRLA_c13580 BRLA_c47520
BRLA_c13580 BRLA_c32570
BRLA_c13690 BRLA_c06690
BRLA_c13690 BRLA_c09560
BRLA_c13690 BRLA_c06680
BRLA_c13690 BRLA_c01870
BRLA_c13690 BRLA_c43600
BRLA_c14260 BRLA_c40780
BRLA_c14320 BRLA_c47800
BRLA_c14320 BRLA_c47810
BRLA_c14330 BRLA_c12140
BRLA_c14330 BRLA_c47810
BRLA_c14330 BRLA_c47800
BRLA_c14340 BRLA_c14350
BRLA_c14340 BRLA_c12140
BRLA_c14340 BRLA_c14360
BRLA_c14340 BRLA_c19490
BRLA_c14350 BRLA_c14340
BRLA_c14350 BRLA_c19300
BRLA_c14360 BRLA_c19300
BRLA_c14360 BRLA_c14340
BRLA_c14370 BRLA_c19230
BRLA_c14380 BRLA_c19230
BRLA_c14410 BRLA_c10680
BRLA_c14410 BRLA_c42800
BRLA_c14410 BRLA_c38630
BRLA_c14420 BRLA_c10680
BRLA_c14420 BRLA_c38630
BRLA_c14420 BRLA_c42800
BRLA_c14560 BRLA_c14570
BRLA_c14570 BRLA_c46980
BRLA_c14570 BRLA_c14560
BRLA_c14570 BRLA_c40820
BRLA_c14570 BRLA_c39130
BRLA_c14830 BRLA_c14840
BRLA_c14840 BRLA_c14830
BRLA_c14890 BRLA_c07960
BRLA_c14890 BRLA_c30500
BRLA_c14890 BRLA_c09500
BRLA_c14920 BRLA_c14940
BRLA_c14940 BRLA_c14920
BRLA_c15930 BRLA_c20140
BRLA_c16030 BRLA_c09050
BRLA_c16200 BRLA_c16220
BRLA_c16200 BRLA_c40320
BRLA_c16200 BRLA_c04360
BRLA_c16200 BRLA_c01910
BRLA_c16200 BRLA_c42980
BRLA_c16200 BRLA_c00690
BRLA_c16220 BRLA_c16200
BRLA_c16220 BRLA_c12260
BRLA_c16280 BRLA_c08510
BRLA_c16280 BRLA_c38560
BRLA_c16290 BRLA_c18850
BRLA_c16290 BRLA_c06770
BRLA_c16290 BRLA_c10570
BRLA_c16290 BRLA_c06800
BRLA_c16610 BRLA_c18330
BRLA_c16610 BRLA_c35610
BRLA_c16690 BRLA_c41110
BRLA_c16720 BRLA_c06680
BRLA_c16720 BRLA_c06690
BRLA_c16720 BRLA_c01870
BRLA_c16720 BRLA_c43600
BRLA_c16720 BRLA_c09560
BRLA_c16830 BRLA_c16840
BRLA_c16840 BRLA_c16830
BRLA_c16850 BRLA_c24960
BRLA_c16850 BRLA_c13060
BRLA_c17220 BRLA_c26000
BRLA_c17220 BRLA_c04310
BRLA_c17220 BRLA_c04420
BRLA_c17220 BRLA_c40210
BRLA_c17220 BRLA_c24610
BRLA_c17220 BRLA_c12600
BRLA_c17690 BRLA_c45190
BRLA_c17940 BRLA_c13260
BRLA_c17940 BRLA_c36140
BRLA_c17940 BRLA_c28930
BRLA_c18050 BRLA_c18070
BRLA_c18070 BRLA_c18050
BRLA_c18230 BRLA_c06320
BRLA_c18330 BRLA_c35610
BRLA_c18330 BRLA_c16610
BRLA_c18510 BRLA_c45640
BRLA_c18510 BRLA_c40850
BRLA_c18620 BRLA_c28150
BRLA_c18620 BRLA_c05700
BRLA_c18850 BRLA_c05670
BRLA_c18850 BRLA_c02130
BRLA_c18850 BRLA_c02210
BRLA_c18850 BRLA_c20140
BRLA_c18850 BRLA_c16290
BRLA_c19140 BRLA_c42320
BRLA_c19190 BRLA_c45180
BRLA_c19200 BRLA_c19220
BRLA_c19200 BRLA_c19210
BRLA_c19210 BRLA_c46770
BRLA_c19210 BRLA_c19200
BRLA_c19220 BRLA_c19200
BRLA_c19230 BRLA_c14380
BRLA_c19230 BRLA_c14370
BRLA_c19270 BRLA_c09490
BRLA_c19270 BRLA_c07960
BRLA_c19270 BRLA_c20420
BRLA_c19270 BRLA_c02280
BRLA_c19300 BRLA_c45350
BRLA_c19300 BRLA_c19490
BRLA_c19300 BRLA_c14350
BRLA_c19300 BRLA_c14360
BRLA_c19380 BRLA_c09500
BRLA_c19450 BRLA_c06680
BRLA_c19450 BRLA_c09560
BRLA_c19450 BRLA_c06690
BRLA_c19450 BRLA_c01870
BRLA_c19450 BRLA_c43600
BRLA_c19490 BRLA_c19300
BRLA_c19490 BRLA_c14340
BRLA_c20140 BRLA_c15930
BRLA_c20140 BRLA_c18850
BRLA_c20270 BRLA_c03100
BRLA_c20280 BRLA_c03100
BRLA_c20290 BRLA_c03100
BRLA_c20390 BRLA_c03150
BRLA_c20420 BRLA_c19270
BRLA_c20580 BRLA_c45260
BRLA_c20580 BRLA_c05230
BRLA_c20580 BRLA_c03750
BRLA_c20580 BRLA_c45070
BRLA_c20600 BRLA_c20670
BRLA_c20600 BRLA_c20690
