ENSNLEP00000005055 ENSNLEP00000017031
ENSNLEP00000005055 ENSNLEP00000020499
ENSNLEP00000005055 ENSNLEP00000003464
ENSNLEP00000005055 ENSNLEP00000001603
ENSNLEP00000005055 ENSNLEP00000019091
ENSNLEP00000005055 ENSNLEP00000017278
ENSNLEP00000005055 ENSNLEP00000003863
ENSNLEP00000005055 ENSNLEP00000015936
ENSNLEP00000005055 ENSNLEP00000007715
ENSNLEP00000005055 ENSNLEP00000012370
ENSNLEP00000005058 ENSNLEP00000018200
ENSNLEP00000005058 ENSNLEP00000021738
ENSNLEP00000005058 ENSNLEP00000023363
ENSNLEP00000005058 ENSNLEP00000005825
ENSNLEP00000005090 ENSNLEP00000012127
ENSNLEP00000005192 ENSNLEP00000020842
ENSNLEP00000005199 ENSNLEP00000022143
ENSNLEP00000005267 ENSNLEP00000016123
ENSNLEP00000005267 ENSNLEP00000010137
ENSNLEP00000005281 ENSNLEP00000002317
ENSNLEP00000005304 ENSNLEP00000006941
ENSNLEP00000005304 ENSNLEP00000020255
ENSNLEP00000005335 ENSNLEP00000006799
ENSNLEP00000005335 ENSNLEP00000019129
ENSNLEP00000005335 ENSNLEP00000014230
ENSNLEP00000005335 ENSNLEP00000007793
ENSNLEP00000005335 ENSNLEP00000018225
ENSNLEP00000005335 ENSNLEP00000013166
ENSNLEP00000005340 ENSNLEP00000001913
ENSNLEP00000005345 ENSNLEP00000022645
ENSNLEP00000005345 ENSNLEP00000003061
ENSNLEP00000005345 ENSNLEP00000004902
ENSNLEP00000005345 ENSNLEP00000016551
ENSNLEP00000005345 ENSNLEP00000022246
ENSNLEP00000005345 ENSNLEP00000022259
ENSNLEP00000005363 ENSNLEP00000005010
ENSNLEP00000005468 ENSNLEP00000007746
ENSNLEP00000005468 ENSNLEP00000017555
ENSNLEP00000005554 ENSNLEP00000013089
ENSNLEP00000005554 ENSNLEP00000016413
ENSNLEP00000005606 ENSNLEP00000019732
ENSNLEP00000005682 ENSNLEP00000001835
ENSNLEP00000005694 ENSNLEP00000014019
ENSNLEP00000005694 ENSNLEP00000017141
ENSNLEP00000005740 ENSNLEP00000020923
ENSNLEP00000005740 ENSNLEP00000006603
ENSNLEP00000005740 ENSNLEP00000004537
ENSNLEP00000005742 ENSNLEP00000006307
ENSNLEP00000005742 ENSNLEP00000019767
ENSNLEP00000005825 ENSNLEP00000018200
ENSNLEP00000005825 ENSNLEP00000021738
ENSNLEP00000005825 ENSNLEP00000023363
ENSNLEP00000005825 ENSNLEP00000005058
ENSNLEP00000005909 ENSNLEP00000017799
ENSNLEP00000005933 ENSNLEP00000009140
ENSNLEP00000006086 ENSNLEP00000017581
ENSNLEP00000006127 ENSNLEP00000018742
ENSNLEP00000006127 ENSNLEP00000012532
ENSNLEP00000006141 ENSNLEP00000016825
ENSNLEP00000006149 ENSNLEP00000007560
ENSNLEP00000006150 ENSNLEP00000007742
ENSNLEP00000006150 ENSNLEP00000011245
ENSNLEP00000006150 ENSNLEP00000001736
ENSNLEP00000006150 ENSNLEP00000018943
ENSNLEP00000006150 ENSNLEP00000002730
ENSNLEP00000006150 ENSNLEP00000010197
ENSNLEP00000006150 ENSNLEP00000014304
ENSNLEP00000006150 ENSNLEP00000002714
ENSNLEP00000006150 ENSNLEP00000006757
ENSNLEP00000006287 ENSNLEP00000018304
ENSNLEP00000006307 ENSNLEP00000005742
ENSNLEP00000006518 ENSNLEP00000020156
ENSNLEP00000006554 ENSNLEP00000003813
ENSNLEP00000006601 ENSNLEP00000004136
ENSNLEP00000006601 ENSNLEP00000003865
ENSNLEP00000006601 ENSNLEP00000018366
ENSNLEP00000006601 ENSNLEP00000020702
ENSNLEP00000006601 ENSNLEP00000020618
ENSNLEP00000006601 ENSNLEP00000003760
ENSNLEP00000006601 ENSNLEP00000021576
ENSNLEP00000006601 ENSNLEP00000006626
ENSNLEP00000006603 ENSNLEP00000005740
ENSNLEP00000006603 ENSNLEP00000003238
ENSNLEP00000006603 ENSNLEP00000012790
