NGR_c13000 NGR_c30010
NGR_c13000 NGR_c21040
NGR_c13000 NGR_c22760
NGR_c13030 NGR_c28350
NGR_c13030 NGR_c12140
NGR_c13030 NGR_c11840
NGR_c13030 NGR_c24800
NGR_c13030 NGR_c34570
NGR_c13030 NGR_c27680
NGR_c13030 NGR_c11830
NGR_c13030 NGR_c28120
NGR_c13030 NGR_c33280
NGR_c13030 NGR_c35850
NGR_c13030 NGR_c23300
NGR_c13030 NGR_c12570
NGR_c13030 NGR_c35920
NGR_c13030 NGR_c36700
NGR_c13030 NGR_c26990
NGR_c13030 NGR_c17110
NGR_c13030 NGR_c12110
NGR_c13030 NGR_c28490
NGR_c13030 NGR_c35730
NGR_c13030 NGR_c32060
NGR_c13030 NGR_c14580
NGR_c13030 NGR_c36520
NGR_c13030 NGR_c15170
NGR_c13030 NGR_c08970
NGR_c13030 NGR_c24290
NGR_c13030 NGR_c13360
NGR_c13030 NGR_c09400
NGR_c13030 NGR_c29090
NGR_c13030 NGR_c15550
NGR_c13030 NGR_c09130
NGR_c13030 NGR_c03770
NGR_c13030 NGR_c05210
NGR_c13030 NGR_c18230
NGR_c13030 NGR_c01040
NGR_c13030 NGR_c08030
NGR_c13030 NGR_c06100
NGR_c13030 NGR_c14770
NGR_c13030 NGR_c13750
NGR_c13040 NGR_c23860
NGR_c13040 NGR_c23870
NGR_c13040 NGR_c34540
NGR_c13040 NGR_c29640
NGR_c13040 NGR_c34570
NGR_c13050 NGR_c29790
NGR_c13050 NGR_c18150
NGR_c13050 NGR_c33490
NGR_c13050 NGR_c32100
NGR_c13070 NGR_c01560
NGR_c13070 NGR_c36850
NGR_c13070 NGR_c10280
NGR_c13070 NGR_c14960
NGR_c13070 NGR_c14980
NGR_c13070 NGR_c06960
NGR_c13070 NGR_c25640
NGR_c13110 NGR_c14020
NGR_c13110 NGR_c26410
NGR_c13110 NGR_c34880
NGR_c13110 NGR_c30190
NGR_c13110 NGR_c33220
NGR_c13140 NGR_c13160
NGR_c13140 NGR_c13150
NGR_c13140 NGR_c13170
NGR_c13150 NGR_c13160
NGR_c13150 NGR_c13170
NGR_c13150 NGR_c13140
NGR_c13160 NGR_c13170
NGR_c13160 NGR_c13150
NGR_c13160 NGR_c13140
NGR_c13170 NGR_c13150
NGR_c13170 NGR_c13160
NGR_c13170 NGR_c13140
NGR_c13180 NGR_c07880
NGR_c13180 NGR_c14980
NGR_c13180 NGR_c14020
NGR_c13180 NGR_c34380
NGR_c13180 NGR_c18290
NGR_c13180 NGR_c33880
NGR_c13180 NGR_c22760
NGR_c13180 NGR_c05340
NGR_c13180 NGR_c14880
NGR_c13180 NGR_c01560
NGR_c13180 NGR_c14960
NGR_c13180 NGR_c03850
NGR_c13180 NGR_c09040
NGR_c13180 NGR_c34750
NGR_c13180 NGR_c10280
NGR_c13180 NGR_c30540
NGR_c13180 NGR_c32960
NGR_c13180 NGR_c06240
NGR_c13180 NGR_c36850
NGR_c13180 NGR_c37070
NGR_c13180 NGR_c28640
NGR_c13180 NGR_c18460
NGR_c13220 NGR_c33790
NGR_c13220 NGR_c09570
NGR_c13220 NGR_c14020
NGR_c13220 NGR_c14980
NGR_c13220 NGR_c08730
NGR_c13220 NGR_c05340
NGR_c13220 NGR_c14880
NGR_c13220 NGR_c26220
NGR_c13220 NGR_c33780
NGR_c13220 NGR_c28640
NGR_c13220 NGR_c12440
NGR_c13220 NGR_c36850
NGR_c13220 NGR_c20220
NGR_c13310 NGR_c30940
NGR_c13360 NGR_c35850
NGR_c13360 NGR_c13750
NGR_c13360 NGR_c36700
NGR_c13360 NGR_c35730
NGR_c13360 NGR_c28490
NGR_c13360 NGR_c09130
NGR_c13360 NGR_c34570
NGR_c13360 NGR_c13030
NGR_c13360 NGR_c15550
NGR_c13380 NGR_c32770
NGR_c13380 NGR_c04580
NGR_c13380 NGR_c13830
NGR_c13390 NGR_c08730
NGR_c13390 NGR_c01220
NGR_c13390 NGR_c01230
NGR_c13390 NGR_c00400
NGR_c13390 NGR_c14490
NGR_c13390 NGR_c09190
NGR_c13390 NGR_c27040
NGR_c13390 NGR_c17320
NGR_c13420 NGR_c21000
NGR_c13420 NGR_c13460
NGR_c13430 NGR_c18070
NGR_c13430 NGR_c35750
NGR_c13430 NGR_c35770
NGR_c13430 NGR_c30920
NGR_c13430 NGR_c08910
NGR_c13430 NGR_c22370
NGR_c13430 NGR_c06410
NGR_c13430 NGR_c05170
NGR_c13440 NGR_c02220
NGR_c13440 NGR_c14640
NGR_c13440 NGR_c21000
NGR_c13460 NGR_c13420
NGR_c13460 NGR_c04270
NGR_c13470 NGR_c33940
NGR_c13470 NGR_c31300
NGR_c13470 NGR_c05020
NGR_c13470 NGR_c26940
NGR_c13470 NGR_c28690
NGR_c13470 NGR_c11070
NGR_c13470 NGR_c00300
NGR_c13470 NGR_c12850
NGR_c13470 NGR_c33630
NGR_c13470 NGR_c17050
NGR_c13470 NGR_c22760
NGR_c13470 NGR_c09720
NGR_c13470 NGR_c08500
NGR_c13470 NGR_c32720
NGR_c13470 NGR_c15170
NGR_c13470 NGR_c11080
NGR_c13470 NGR_c28680
NGR_c13470 NGR_c20350
NGR_c13470 NGR_c33800
NGR_c13470 NGR_c25100
NGR_c13470 NGR_c32960
NGR_c13470 NGR_c25860
NGR_c13470 NGR_c33260
NGR_c13470 NGR_c32380
NGR_c13470 NGR_c27260
NGR_c13470 NGR_c01680
NGR_c13470 NGR_c16880
NGR_c13470 NGR_c29930
NGR_c13470 NGR_c34110
NGR_c13470 NGR_c34380
NGR_c13470 NGR_c25880
NGR_c13470 NGR_c32860
NGR_c13520 NGR_c35220
NGR_c13520 NGR_c19590
NGR_c13520 NGR_c28560
NGR_c13520 NGR_c35210
