STRCR_1909 STRCR_1910
STRCR_1910 STRCR_1909
STRCR_1910 STRCR_1162
STRCR_1911 STRCR_1909
STRCR_1915 STRCR_1845
STRCR_1915 STRCR_0413
STRCR_1915 STRCR_1922
STRCR_1915 STRCR_1894
STRCR_1915 STRCR_1917
STRCR_1915 STRCR_1639
STRCR_1915 STRCR_1964
STRCR_1917 STRCR_1964
STRCR_1917 STRCR_1922
STRCR_1917 STRCR_0413
STRCR_1917 STRCR_1639
STRCR_1917 STRCR_1894
STRCR_1917 STRCR_1845
STRCR_1917 STRCR_1915
STRCR_1922 STRCR_1915
STRCR_1922 STRCR_1297
STRCR_1922 STRCR_1917
STRCR_1922 STRCR_1296
STRCR_1923 STRCR_0760
STRCR_1940 STRCR_0646
STRCR_1949 STRCR_1780
STRCR_1949 STRCR_1886
STRCR_1949 STRCR_0610
STRCR_1959 STRCR_1785
STRCR_1959 STRCR_1786
STRCR_1959 STRCR_1214
STRCR_1964 STRCR_1915
STRCR_1964 STRCR_1917
STRCR_1964 STRCR_1639
STRCR_1964 STRCR_1894
STRCR_1982 STRCR_0095
STRCR_1991 STRCR_1751
STRCR_1991 STRCR_2285
STRCR_1991 STRCR_0750
STRCR_2000 STRCR_0603
STRCR_2000 STRCR_2003
STRCR_2000 STRCR_0188
STRCR_2000 STRCR_0693
STRCR_2000 STRCR_2286
STRCR_2001 STRCR_1803
STRCR_2001 STRCR_1800
STRCR_2003 STRCR_1680
STRCR_2003 STRCR_2280
STRCR_2003 STRCR_1681
STRCR_2003 STRCR_1088
STRCR_2003 STRCR_2000
STRCR_2003 STRCR_0585
STRCR_2003 STRCR_1679
STRCR_2008 STRCR_1200
STRCR_2008 STRCR_0019
STRCR_2008 STRCR_0943
STRCR_2008 STRCR_1206
STRCR_2008 STRCR_0541
STRCR_2009 STRCR_1200
STRCR_2009 STRCR_0019
STRCR_2009 STRCR_0541
STRCR_2009 STRCR_1206
STRCR_2009 STRCR_0943
STRCR_2012 STRCR_2014
STRCR_2012 STRCR_2015
STRCR_2013 STRCR_2014
STRCR_2013 STRCR_2015
STRCR_2014 STRCR_2189
STRCR_2014 STRCR_2013
STRCR_2014 STRCR_2012
STRCR_2015 STRCR_2013
STRCR_2015 STRCR_2012
STRCR_2096 STRCR_2097
STRCR_2096 STRCR_2099
STRCR_2097 STRCR_2096
STRCR_2097 STRCR_2099
STRCR_2098 STRCR_2099
STRCR_2098 STRCR_2100
STRCR_2099 STRCR_2096
STRCR_2099 STRCR_2098
STRCR_2099 STRCR_2097
STRCR_2100 STRCR_2102
STRCR_2100 STRCR_2101
STRCR_2100 STRCR_2098
STRCR_2101 STRCR_1786
STRCR_2101 STRCR_2100
STRCR_2102 STRCR_1786
STRCR_2102 STRCR_2100
STRCR_2122 STRCR_1054
STRCR_2130 STRCR_1715
STRCR_2149 STRCR_2304
STRCR_2174 STRCR_0200
STRCR_2174 STRCR_0838
STRCR_2174 STRCR_0126
STRCR_2174 STRCR_1315
STRCR_2179 STRCR_1613
STRCR_2179 STRCR_0454
STRCR_2179 STRCR_1319
STRCR_2179 STRCR_0294
STRCR_2189 STRCR_0643
STRCR_2189 STRCR_2014
STRCR_2189 STRCR_0232
STRCR_2189 STRCR_1689
STRCR_2189 STRCR_1688
STRCR_2207 STRCR_0750
STRCR_2207 STRCR_2285
STRCR_2260 STRCR_2261
STRCR_2261 STRCR_2262
STRCR_2261 STRCR_2260
STRCR_2262 STRCR_2261
STRCR_2277 STRCR_1751
STRCR_2277 STRCR_0750
STRCR_2277 STRCR_2285
STRCR_2280 STRCR_2003
STRCR_2280 STRCR_1248
STRCR_2280 STRCR_0694
STRCR_2285 STRCR_2207
STRCR_2285 STRCR_2277
STRCR_2285 STRCR_1991
STRCR_2286 STRCR_0694
STRCR_2286 STRCR_0603
STRCR_2286 STRCR_0188
STRCR_2286 STRCR_2000
STRCR_2304 STRCR_2149
STRCR_2315 STRCR_1072
STRCR_2339 STRCR_1206
STRCR_2339 STRCR_0943
STRCR_2341 STRCR_1844
STRCR_2343 STRCR_1054
STRCR_2343 STRCR_1105
