TGME49_021170 TGME49_000370
TGME49_021270 TGME49_036070
TGME49_021270 TGME49_071610
TGME49_021270 TGME49_002340
TGME49_021320 TGME49_068890
TGME49_021320 TGME49_031890
TGME49_021320 TGME49_003110
TGME49_021320 TGME49_093810
TGME49_021320 TGME49_025990
TGME49_021320 TGME49_111370
TGME49_021320 TGME49_066640
TGME49_021320 TGME49_109750
TGME49_021320 TGME49_023840
TGME49_021320 TGME49_006610
TGME49_021320 TGME49_101120
TGME49_021320 TGME49_090600
TGME49_021620 TGME49_012240
TGME49_021620 TGME49_077510
TGME49_021620 TGME49_048880
TGME49_021620 TGME49_116400
TGME49_021620 TGME49_066960
TGME49_021620 TGME49_031400
TGME49_021620 TGME49_031770
TGME49_021620 TGME49_094550
TGME49_021620 TGME49_047600
TGME49_021950 TGME49_028000
TGME49_021950 TGME49_046500
TGME49_022020 TGME49_073030
TGME49_022020 TGME49_069190
TGME49_022020 TGME49_118230
TGME49_022020 TGME49_089690
TGME49_022020 TGME49_097060
TGME49_022710 TGME49_008530
TGME49_022720 TGME49_026910
TGME49_022720 TGME49_110670
TGME49_022720 TGME49_116520
TGME49_022860 TGME49_073520
TGME49_022860 TGME49_094670
TGME49_022860 TGME49_117720
TGME49_022860 TGME49_035540
TGME49_022860 TGME49_001680
TGME49_022860 TGME49_035970
TGME49_022860 TGME49_051500
TGME49_022860 TGME49_113230
TGME49_022860 TGME49_062720
TGME49_022860 TGME49_044650
TGME49_022860 TGME49_094620
TGME49_022860 TGME49_086090
TGME49_022860 TGME49_089830
TGME49_022970 TGME49_007710
TGME49_023020 TGME49_089940
TGME49_023020 TGME49_088640
TGME49_023250 TGME49_048670
TGME49_023250 TGME49_012310
TGME49_023250 TGME49_091310
TGME49_023250 TGME49_083830
TGME49_023410 TGME49_115150
TGME49_023410 TGME49_057350
TGME49_023620 TGME49_005030
TGME49_023620 TGME49_070070
TGME49_023620 TGME49_026600
TGME49_023680 TGME49_040700
TGME49_023690 TGME49_095350
TGME49_023690 TGME49_040930
TGME49_023690 TGME49_002210
TGME49_023690 TGME49_099210
TGME49_023690 TGME49_013780
TGME49_023690 TGME49_002300
TGME49_023690 TGME49_056760
TGME49_023690 TGME49_014780
TGME49_023690 TGME49_053780
TGME49_023840 TGME49_006610
TGME49_023840 TGME49_089650
TGME49_023840 TGME49_031890
TGME49_023840 TGME49_068890
TGME49_023840 TGME49_003110
TGME49_023840 TGME49_049390
TGME49_023840 TGME49_084190
TGME49_023840 TGME49_048600
TGME49_023840 TGME49_026730
TGME49_023840 TGME49_101120
TGME49_023840 TGME49_063190
TGME49_023840 TGME49_073740
TGME49_023840 TGME49_088500
TGME49_023840 TGME49_093180
TGME49_023840 TGME49_089930
TGME49_023840 TGME49_021320
TGME49_023840 TGME49_004460
TGME49_024220 TGME49_000400
TGME49_024220 TGME49_046510
TGME49_024220 TGME49_115670
TGME49_024220 TGME49_015170
TGME49_024350 TGME49_090670
TGME49_024350 TGME49_048600
TGME49_024350 TGME49_078910
TGME49_024350 TGME49_032590
TGME49_024490 TGME49_000370
TGME49_024490 TGME49_027420
TGME49_024580 TGME49_005010
TGME49_024580 TGME49_105010
TGME49_024580 TGME49_048250
TGME49_024580 TGME49_114740
TGME49_024580 TGME49_114830
TGME49_024580 TGME49_030960
TGME49_024840 TGME49_088320
TGME49_024840 TGME49_063190
TGME49_024840 TGME49_081970
TGME49_024840 TGME49_024900
TGME49_024840 TGME49_030460
TGME49_024840 TGME49_080410
TGME49_024840 TGME49_029400
TGME49_024840 TGME49_050880
TGME49_024840 TGME49_058640
TGME49_024840 TGME49_034280
TGME49_024840 TGME49_033400
TGME49_024870 TGME49_034670
TGME49_024900 TGME49_057080
TGME49_024900 TGME49_029400
TGME49_024900 TGME49_002210
TGME49_024900 TGME49_058640
TGME49_024900 TGME49_095350
TGME49_024900 TGME49_056760
TGME49_024900 TGME49_050880
TGME49_024900 TGME49_033400
TGME49_024900 TGME49_063190
TGME49_024900 TGME49_030460
TGME49_024900 TGME49_080410
TGME49_024900 TGME49_007060
TGME49_024900 TGME49_081970
TGME49_024900 TGME49_088320
TGME49_024900 TGME49_024840
TGME49_024900 TGME49_002540
TGME49_024900 TGME49_034280
TGME49_024900 TGME49_094640
TGME49_025050 TGME49_057750
TGME49_025050 TGME49_078910
TGME49_025050 TGME49_059180
TGME49_025050 TGME49_016640
TGME49_025260 TGME49_040930
TGME49_025260 TGME49_014780
TGME49_025260 TGME49_099210
TGME49_025260 TGME49_002210
TGME49_025260 TGME49_053780
TGME49_025260 TGME49_002300
TGME49_025260 TGME49_013780
TGME49_025260 TGME49_056760
TGME49_025260 TGME49_095350
TGME49_025420 TGME49_120120
TGME49_025550 TGME49_069920
TGME49_025550 TGME49_061760
TGME49_025550 TGME49_057510
TGME49_025880 TGME49_018200
TGME49_025930 TGME49_069190
TGME49_025930 TGME49_118750
TGME49_025930 TGME49_094200
TGME49_025930 TGME49_089690
TGME49_025930 TGME49_083780
TGME49_025930 TGME49_036050
TGME49_025930 TGME49_036040
TGME49_025930 TGME49_033500
TGME49_025930 TGME49_029360
TGME49_025930 TGME49_070650
TGME49_025930 TGME49_078830
TGME49_025930 TGME49_118310
TGME49_025990 TGME49_031890
TGME49_025990 TGME49_093590
TGME49_025990 TGME49_021320
TGME49_026000 TGME49_048670
TGME49_026000 TGME49_083830
TGME49_026370 TGME49_047360
TGME49_026370 TGME49_039250
TGME49_026370 TGME49_030690
TGME49_026370 TGME49_032730
TGME49_026370 TGME49_002460
TGME49_026400 TGME49_093590
TGME49_026400 TGME49_051930
TGME49_026400 TGME49_071820
TGME49_026480 TGME49_064450
TGME49_026510 TGME49_111400
TGME49_026510 TGME49_077000
TGME49_026510 TGME49_091680
TGME49_026510 TGME49_001700
TGME49_026600 TGME49_070070
TGME49_026600 TGME49_023620
TGME49_026600 TGME49_005030
TGME49_026730 TGME49_066760
TGME49_026730 TGME49_113140
TGME49_026730 TGME49_023840
TGME49_026730 TGME49_068890
TGME49_026730 TGME49_003110
TGME49_026910 TGME49_110670
TGME49_026910 TGME49_022720
TGME49_026910 TGME49_116520
TGME49_026960 TGME49_083780
TGME49_026960 TGME49_036050
TGME49_026960 TGME49_036040
TGME49_026960 TGME49_065450
TGME49_026960 TGME49_040890
TGME49_026960 TGME49_060140
TGME49_026960 TGME49_118310
TGME49_026960 TGME49_029360
TGME49_027090 TGME49_079450
TGME49_027090 TGME49_091640
TGME49_027090 TGME49_005420
TGME49_027090 TGME49_053430
TGME49_027090 TGME49_048600
TGME49_027280 TGME49_086450
TGME49_027420 TGME49_062430
TGME49_027420 TGME49_024490
TGME49_027790 TGME49_030590
TGME49_028000 TGME49_021950
TGME49_028000 TGME49_046500
TGME49_028180 TGME49_002800
TGME49_028180 TGME49_006310
TGME49_028180 TGME49_106390
TGME49_028180 TGME49_040550
TGME49_028180 TGME49_009260
TGME49_028180 TGME49_110470
TGME49_029010 TGME49_100100
TGME49_029360 TGME49_097060
TGME49_029360 TGME49_089690
TGME49_029360 TGME49_036050
TGME49_029360 TGME49_056760
TGME49_029360 TGME49_118310
TGME49_029360 TGME49_068850
TGME49_029360 TGME49_085980
TGME49_029360 TGME49_083780
TGME49_029360 TGME49_026960
TGME49_029360 TGME49_036040
TGME49_029360 TGME49_118750
TGME49_029360 TGME49_033500
TGME49_029360 TGME49_073030
TGME49_029360 TGME49_072290
TGME49_029360 TGME49_069190
TGME49_029360 TGME49_070650
TGME49_029360 TGME49_068860
TGME49_029360 TGME49_040890
TGME49_029360 TGME49_118580
TGME49_029360 TGME49_065450
TGME49_029360 TGME49_025930
TGME49_029400 TGME49_058640
TGME49_029400 TGME49_034280
TGME49_029400 TGME49_033400
