OCA5_c17480 OCA5_c17490
OCA5_c17480 OCA5_c17520
OCA5_c17480 OCA5_c10070
OCA5_c17490 OCA5_c17470
OCA5_c17490 OCA5_c17480
OCA5_c17490 OCA5_c33590
OCA5_c17490 OCA5_c17520
OCA5_c17490 OCA5_c10070
OCA5_c17520 OCAR_6932
OCA5_c17520 OCA5_c17480
OCA5_c17520 OCA5_c33620
OCA5_c17520 OCA5_c29400
OCA5_c17520 OCA5_c25510
OCA5_c17520 OCA5_c17490
OCA5_c17520 OCA5_c25490
OCA5_c17520 OCA5_c10070
OCA5_c17520 OCA5_c33610
OCA5_c17520 OCA5_c17470
OCA5_c17540 OCA5_c26820
OCA5_c17540 OCA5_c26790
OCA5_c17540 OCA5_c09060
OCA5_c17610 OCA5_c20290
OCA5_c17610 OCA5_c20380
OCA5_c17610 OCA5_c22610
OCA5_c17680 OCA5_c28060
OCA5_c17690 OCA5_c15820
OCA5_c17840 OCA5_c10940
OCA5_c17990 OCA5_c01440
OCA5_c17990 OCA5_c00450
OCA5_c18020 OCA5_c18030
OCA5_c18030 OCA5_c18020
OCA5_c18030 OCA5_c17410
OCA5_c18050 OCA5_c33950
OCA5_c18050 OCA5_c30720
OCA5_c18050 OCA5_c33960
OCA5_c18050 OCA5_c24730
OCA5_c18140 OCA5_c09430
OCA5_c18150 OCA5_c09430
OCA5_c19020 OCA5_c26960
OCA5_c19020 OCA5_c16950
OCA5_c19070 OCA5_c30220
OCA5_c19080 OCA5_c05810
OCA5_c19380 OCA5_c22670
OCA5_c19580 OCA5_c11890
OCA5_c19580 OCA5_c29630
OCA5_c19580 OCAR_7378
OCA5_c19580 OCA5_c13710
OCA5_c19580 OCA5_c07660
OCA5_c19580 OCA5_c27450
OCA5_c19580 OCA5_c30860
OCA5_c19580 OCA5_c12950
OCA5_c19600 OCA5_c04040
OCA5_c19600 OCAR_4863
OCA5_c19660 OCA5_c24730
OCA5_c19660 OCA5_c33960
OCA5_c19660 OCA5_c33950
OCA5_c19660 OCA5_c30720
OCA5_c19820 OCA5_c33070
OCA5_c19820 OCA5_c33080
OCA5_c19820 OCA5_c10940
OCA5_c19960 OCA5_c13740
OCA5_c19980 OCA5_c08570
