ENSGGOP00000000108 ENSGGOP00000025536
ENSGGOP00000000108 ENSGGOP00000000293
ENSGGOP00000000108 ENSGGOP00000020810
ENSGGOP00000000108 ENSGGOP00000012457
ENSGGOP00000000108 ENSGGOP00000007197
ENSGGOP00000000108 ENSGGOP00000027520
ENSGGOP00000000108 ENSGGOP00000004775
ENSGGOP00000000108 ENSGGOP00000000818
ENSGGOP00000000108 ENSGGOP00000019176
ENSGGOP00000000108 ENSGGOP00000009869
ENSGGOP00000000108 ENSGGOP00000010490
ENSGGOP00000000108 ENSGGOP00000016725
ENSGGOP00000000108 ENSGGOP00000026762
ENSGGOP00000000108 ENSGGOP00000002713
ENSGGOP00000000108 ENSGGOP00000008032
ENSGGOP00000000108 ENSGGOP00000005486
ENSGGOP00000000108 ENSGGOP00000026116
ENSGGOP00000000108 ENSGGOP00000026447
ENSGGOP00000000108 ENSGGOP00000004004
ENSGGOP00000000108 ENSGGOP00000010467
ENSGGOP00000000108 ENSGGOP00000023924
ENSGGOP00000000108 ENSGGOP00000012641
ENSGGOP00000000108 ENSGGOP00000021479
ENSGGOP00000000108 ENSGGOP00000019618
ENSGGOP00000000108 ENSGGOP00000006559
ENSGGOP00000000108 ENSGGOP00000014874
ENSGGOP00000000108 ENSGGOP00000005899
ENSGGOP00000000108 ENSGGOP00000022230
ENSGGOP00000000108 ENSGGOP00000009652
ENSGGOP00000000108 ENSGGOP00000000660
ENSGGOP00000000108 ENSGGOP00000000009
ENSGGOP00000000108 ENSGGOP00000010918
ENSGGOP00000000108 ENSGGOP00000027236
ENSGGOP00000000108 ENSGGOP00000013370
ENSGGOP00000000108 ENSGGOP00000011226
ENSGGOP00000000108 ENSGGOP00000021823
ENSGGOP00000000108 ENSGGOP00000014454
ENSGGOP00000000108 ENSGGOP00000008629
ENSGGOP00000000108 ENSGGOP00000021672
ENSGGOP00000000108 ENSGGOP00000002078
ENSGGOP00000000108 ENSGGOP00000004138
ENSGGOP00000000108 ENSGGOP00000013997
ENSGGOP00000000108 ENSGGOP00000026634
ENSGGOP00000000108 ENSGGOP00000010063
ENSGGOP00000000108 ENSGGOP00000014811
ENSGGOP00000000108 ENSGGOP00000014493
ENSGGOP00000000108 ENSGGOP00000002483
ENSGGOP00000000108 ENSGGOP00000019928
ENSGGOP00000000108 ENSGGOP00000025608
ENSGGOP00000000108 ENSGGOP00000016265
ENSGGOP00000000108 ENSGGOP00000006630
ENSGGOP00000000108 ENSGGOP00000006828
ENSGGOP00000000108 ENSGGOP00000000601
ENSGGOP00000000108 ENSGGOP00000023233
ENSGGOP00000000108 ENSGGOP00000000749
ENSGGOP00000000108 ENSGGOP00000018974
ENSGGOP00000000110 ENSGGOP00000021281
ENSGGOP00000000110 ENSGGOP00000003735
ENSGGOP00000000110 ENSGGOP00000002028
ENSGGOP00000000110 ENSGGOP00000000891
ENSGGOP00000000110 ENSGGOP00000015132
ENSGGOP00000000110 ENSGGOP00000019926
ENSGGOP00000000110 ENSGGOP00000021688
ENSGGOP00000000110 ENSGGOP00000000222
ENSGGOP00000000110 ENSGGOP00000024523
ENSGGOP00000000110 ENSGGOP00000021279
ENSGGOP00000000127 ENSGGOP00000013636
ENSGGOP00000000127 ENSGGOP00000021380
ENSGGOP00000000127 ENSGGOP00000004114
ENSGGOP00000000127 ENSGGOP00000007365
ENSGGOP00000000127 ENSGGOP00000009331
ENSGGOP00000000127 ENSGGOP00000016696
ENSGGOP00000000127 ENSGGOP00000011580
ENSGGOP00000000127 ENSGGOP00000017740
ENSGGOP00000000127 ENSGGOP00000003593
