ENSLACP00000000227 ENSLACP00000017280
ENSLACP00000000227 ENSLACP00000022824
ENSLACP00000000227 ENSLACP00000018518
ENSLACP00000000227 ENSLACP00000014557
ENSLACP00000000227 ENSLACP00000008793
ENSLACP00000000227 ENSLACP00000017601
ENSLACP00000000227 ENSLACP00000013282
ENSLACP00000000227 ENSLACP00000022271
ENSLACP00000000229 ENSLACP00000017703
ENSLACP00000000229 ENSLACP00000018756
ENSLACP00000000229 ENSLACP00000004591
ENSLACP00000000229 ENSLACP00000002052
ENSLACP00000000229 ENSLACP00000013827
ENSLACP00000000229 ENSLACP00000015364
ENSLACP00000000229 ENSLACP00000000633
ENSLACP00000000229 ENSLACP00000010672
ENSLACP00000000229 ENSLACP00000004134
ENSLACP00000000229 ENSLACP00000013247
ENSLACP00000000229 ENSLACP00000014997
ENSLACP00000000229 ENSLACP00000016172
ENSLACP00000000229 ENSLACP00000001378
ENSLACP00000000229 ENSLACP00000016373
ENSLACP00000000229 ENSLACP00000015961
ENSLACP00000000229 ENSLACP00000019945
ENSLACP00000000229 ENSLACP00000005695
ENSLACP00000000229 ENSLACP00000001191
ENSLACP00000000229 ENSLACP00000007683
ENSLACP00000000229 ENSLACP00000017410
ENSLACP00000000229 ENSLACP00000018619
ENSLACP00000000229 ENSLACP00000018691
ENSLACP00000000229 ENSLACP00000005786
ENSLACP00000000229 ENSLACP00000000457
ENSLACP00000000229 ENSLACP00000000513
ENSLACP00000000230 ENSLACP00000009917
ENSLACP00000000230 ENSLACP00000021092
ENSLACP00000000230 ENSLACP00000008278
ENSLACP00000000230 ENSLACP00000007691
ENSLACP00000000230 ENSLACP00000017133
ENSLACP00000000230 ENSLACP00000009185
ENSLACP00000000230 ENSLACP00000011325
ENSLACP00000000230 ENSLACP00000009671
ENSLACP00000000230 ENSLACP00000011873
ENSLACP00000000240 ENSLACP00000010049
ENSLACP00000000240 ENSLACP00000004525
ENSLACP00000000240 ENSLACP00000016874
ENSLACP00000000240 ENSLACP00000005733
ENSLACP00000000240 ENSLACP00000003969
ENSLACP00000000249 ENSLACP00000001326
ENSLACP00000000249 ENSLACP00000002229
ENSLACP00000000249 ENSLACP00000022760
ENSLACP00000000249 ENSLACP00000011398
ENSLACP00000000249 ENSLACP00000006953
ENSLACP00000000249 ENSLACP00000007727
ENSLACP00000000249 ENSLACP00000016754
ENSLACP00000000249 ENSLACP00000003584
ENSLACP00000000249 ENSLACP00000015437
ENSLACP00000000249 ENSLACP00000009318
ENSLACP00000000249 ENSLACP00000014482
ENSLACP00000000249 ENSLACP00000005382
ENSLACP00000000249 ENSLACP00000022768
ENSLACP00000000249 ENSLACP00000010663
ENSLACP00000000249 ENSLACP00000005135
ENSLACP00000000250 ENSLACP00000010498
ENSLACP00000000250 ENSLACP00000019190
ENSLACP00000000250 ENSLACP00000019276
ENSLACP00000000250 ENSLACP00000019241
ENSLACP00000000250 ENSLACP00000012187
ENSLACP00000000250 ENSLACP00000003232
ENSLACP00000000250 ENSLACP00000010563
ENSLACP00000000250 ENSLACP00000018220
ENSLACP00000000250 ENSLACP00000016660
ENSLACP00000000250 ENSLACP00000013223
ENSLACP00000000250 ENSLACP00000004341
ENSLACP00000000250 ENSLACP00000000082
ENSLACP00000000259 ENSLACP00000013565
ENSLACP00000000259 ENSLACP00000013623
ENSLACP00000000259 ENSLACP00000021782
ENSLACP00000000259 ENSLACP00000012071
ENSLACP00000000259 ENSLACP00000017555
ENSLACP00000000259 ENSLACP00000019634
ENSLACP00000000259 ENSLACP00000009420
ENSLACP00000000259 ENSLACP00000021652
ENSLACP00000000259 ENSLACP00000009702
ENSLACP00000000259 ENSLACP00000020993
ENSLACP00000000259 ENSLACP00000021021
ENSLACP00000000259 ENSLACP00000012418
ENSLACP00000000259 ENSLACP00000010644
ENSLACP00000000259 ENSLACP00000010913
ENSLACP00000000260 ENSLACP00000022117
ENSLACP00000000260 ENSLACP00000001506
ENSLACP00000000260 ENSLACP00000016853
ENSLACP00000000260 ENSLACP00000002299
ENSLACP00000000260 ENSLACP00000009706
ENSLACP00000000260 ENSLACP00000019159
ENSLACP00000000260 ENSLACP00000017261
ENSLACP00000000260 ENSLACP00000011935
ENSLACP00000000260 ENSLACP00000023621
ENSLACP00000000260 ENSLACP00000002705
ENSLACP00000000260 ENSLACP00000008717
ENSLACP00000000260 ENSLACP00000012230
ENSLACP00000000260 ENSLACP00000020543
ENSLACP00000000260 ENSLACP00000001398
ENSLACP00000000260 ENSLACP00000005575
ENSLACP00000000260 ENSLACP00000021457
ENSLACP00000000260 ENSLACP00000011626
ENSLACP00000000260 ENSLACP00000020847
ENSLACP00000000260 ENSLACP00000004295
ENSLACP00000000260 ENSLACP00000022094
ENSLACP00000000260 ENSLACP00000015852
ENSLACP00000000260 ENSLACP00000011017
ENSLACP00000000260 ENSLACP00000002633
ENSLACP00000000260 ENSLACP00000020768
ENSLACP00000000260 ENSLACP00000012373
ENSLACP00000000260 ENSLACP00000018874
ENSLACP00000000260 ENSLACP00000017516
ENSLACP00000000260 ENSLACP00000001656
ENSLACP00000000260 ENSLACP00000017184
ENSLACP00000000260 ENSLACP00000017715
ENSLACP00000000260 ENSLACP00000015921
ENSLACP00000000260 ENSLACP00000021693
ENSLACP00000000260 ENSLACP00000018670
ENSLACP00000000260 ENSLACP00000007861
ENSLACP00000000260 ENSLACP00000018051
ENSLACP00000000260 ENSLACP00000004901
ENSLACP00000000268 ENSLACP00000020665
ENSLACP00000000268 ENSLACP00000008172
ENSLACP00000000268 ENSLACP00000003071
ENSLACP00000000268 ENSLACP00000015582
ENSLACP00000000268 ENSLACP00000002827
ENSLACP00000000268 ENSLACP00000010674
ENSLACP00000000268 ENSLACP00000005596
ENSLACP00000000268 ENSLACP00000023381
ENSLACP00000000268 ENSLACP00000007598
ENSLACP00000000271 ENSLACP00000017851
ENSLACP00000000271 ENSLACP00000002799
ENSLACP00000000271 ENSLACP00000017063
ENSLACP00000000271 ENSLACP00000015360
ENSLACP00000000271 ENSLACP00000022054
ENSLACP00000000271 ENSLACP00000001758
ENSLACP00000000271 ENSLACP00000007134
ENSLACP00000000271 ENSLACP00000019270
ENSLACP00000000271 ENSLACP00000018313
ENSLACP00000000271 ENSLACP00000001884
ENSLACP00000000271 ENSLACP00000005475
ENSLACP00000000271 ENSLACP00000006235
ENSLACP00000000271 ENSLACP00000015032
ENSLACP00000000271 ENSLACP00000021095
ENSLACP00000000271 ENSLACP00000001514
ENSLACP00000000271 ENSLACP00000010409
ENSLACP00000000271 ENSLACP00000023412
ENSLACP00000000277 ENSLACP00000020967
ENSLACP00000000277 ENSLACP00000002003
ENSLACP00000000277 ENSLACP00000004276
ENSLACP00000000277 ENSLACP00000008886
ENSLACP00000000277 ENSLACP00000005028
ENSLACP00000000277 ENSLACP00000004711
ENSLACP00000000277 ENSLACP00000017959
ENSLACP00000000277 ENSLACP00000007518
ENSLACP00000000277 ENSLACP00000015742
ENSLACP00000000277 ENSLACP00000022411
ENSLACP00000000277 ENSLACP00000012103
ENSLACP00000000277 ENSLACP00000017426
ENSLACP00000000277 ENSLACP00000021767
ENSLACP00000000277 ENSLACP00000014312
ENSLACP00000000277 ENSLACP00000015156
ENSLACP00000000281 ENSLACP00000000611
ENSLACP00000000281 ENSLACP00000013715
ENSLACP00000000281 ENSLACP00000020561
ENSLACP00000000281 ENSLACP00000002346
ENSLACP00000000286 ENSLACP00000001803
ENSLACP00000000286 ENSLACP00000022406
ENSLACP00000000286 ENSLACP00000019955
ENSLACP00000000287 ENSLACP00000009700
ENSLACP00000000288 ENSLACP00000021709
ENSLACP00000000288 ENSLACP00000021401
ENSLACP00000000288 ENSLACP00000016314
ENSLACP00000000288 ENSLACP00000011159
ENSLACP00000000288 ENSLACP00000009830
ENSLACP00000000288 ENSLACP00000002155
ENSLACP00000000288 ENSLACP00000020645
ENSLACP00000000288 ENSLACP00000007350
ENSLACP00000000288 ENSLACP00000010100
ENSLACP00000000288 ENSLACP00000004295
ENSLACP00000000288 ENSLACP00000001851
ENSLACP00000000288 ENSLACP00000019944
ENSLACP00000000288 ENSLACP00000009720
ENSLACP00000000288 ENSLACP00000011721
ENSLACP00000000289 ENSLACP00000015702
ENSLACP00000000289 ENSLACP00000015754
ENSLACP00000000289 ENSLACP00000018992
ENSLACP00000000289 ENSLACP00000020125
ENSLACP00000000289 ENSLACP00000015707
ENSLACP00000000289 ENSLACP00000011342
ENSLACP00000000289 ENSLACP00000003632
ENSLACP00000000289 ENSLACP00000005722
ENSLACP00000000289 ENSLACP00000019270
ENSLACP00000000289 ENSLACP00000014135
ENSLACP00000000289 ENSLACP00000004684
ENSLACP00000000289 ENSLACP00000005475
ENSLACP00000000289 ENSLACP00000020917
ENSLACP00000000289 ENSLACP00000001884
ENSLACP00000000289 ENSLACP00000021197
ENSLACP00000000289 ENSLACP00000008573
ENSLACP00000000289 ENSLACP00000020941
ENSLACP00000000289 ENSLACP00000016466
ENSLACP00000000289 ENSLACP00000021095
ENSLACP00000000289 ENSLACP00000016495
ENSLACP00000000289 ENSLACP00000022097
ENSLACP00000000289 ENSLACP00000014365
ENSLACP00000000289 ENSLACP00000001514
ENSLACP00000000290 ENSLACP00000007727
ENSLACP00000000290 ENSLACP00000006953
ENSLACP00000000290 ENSLACP00000003584
ENSLACP00000000290 ENSLACP00000011398
ENSLACP00000000290 ENSLACP00000015437
ENSLACP00000000290 ENSLACP00000016754
ENSLACP00000000290 ENSLACP00000001326
ENSLACP00000000290 ENSLACP00000002229
ENSLACP00000000290 ENSLACP00000009318
ENSLACP00000000290 ENSLACP00000005135
ENSLACP00000000290 ENSLACP00000022760
ENSLACP00000000290 ENSLACP00000014482
ENSLACP00000000290 ENSLACP00000005382
