BATR1942_01495 BATR1942_18680
BATR1942_01495 BATR1942_18655
BATR1942_01495 BATR1942_08760
BATR1942_01495 BATR1942_19295
BATR1942_01495 BATR1942_11380
BATR1942_01495 BATR1942_05530
BATR1942_01495 BATR1942_18750
BATR1942_01495 BATR1942_06265
BATR1942_01495 BATR1942_08510
BATR1942_01495 BATR1942_16405
BATR1942_01495 BATR1942_17740
BATR1942_01495 BATR1942_00745
BATR1942_01495 BATR1942_11140
BATR1942_01495 BATR1942_05635
BATR1942_01495 BATR1942_13725
BATR1942_01495 BATR1942_11535
BATR1942_01495 BATR1942_11695
BATR1942_01495 BATR1942_11110
BATR1942_01495 BATR1942_18950
BATR1942_01495 BATR1942_10960
BATR1942_01495 BATR1942_18305
BATR1942_01495 BATR1942_10025
BATR1942_01495 BATR1942_00695
BATR1942_01495 BATR1942_09325
BATR1942_01495 BATR1942_08890
BATR1942_01495 BATR1942_05570
BATR1942_01495 BATR1942_06055
BATR1942_01495 BATR1942_16490
BATR1942_01520 BATR1942_11150
BATR1942_01520 BATR1942_20220
BATR1942_01520 BATR1942_20215
BATR1942_01520 BATR1942_09420
BATR1942_01520 BATR1942_10550
BATR1942_01520 BATR1942_01525
BATR1942_01525 BATR1942_20215
BATR1942_01525 BATR1942_11150
BATR1942_01525 BATR1942_09420
BATR1942_01525 BATR1942_10550
BATR1942_01525 BATR1942_09220
BATR1942_01525 BATR1942_01520
BATR1942_01600 BATR1942_14340
BATR1942_01600 BATR1942_07160
BATR1942_01600 BATR1942_02560
BATR1942_01600 BATR1942_10385
BATR1942_01600 BATR1942_14335
BATR1942_01600 BATR1942_02825
BATR1942_01600 BATR1942_12030
BATR1942_01640 BATR1942_12745
BATR1942_01640 BATR1942_20900
BATR1942_01640 BATR1942_12395
BATR1942_01640 BATR1942_20165
BATR1942_01640 BATR1942_13520
BATR1942_01640 BATR1942_05205
BATR1942_01640 BATR1942_05065
BATR1942_01640 BATR1942_01645
BATR1942_01640 BATR1942_16515
BATR1942_01640 BATR1942_01655
BATR1942_01640 BATR1942_05060
BATR1942_01640 BATR1942_05075
BATR1942_01640 BATR1942_20675
BATR1942_01640 BATR1942_08905
BATR1942_01640 BATR1942_06975
BATR1942_01640 BATR1942_11895
BATR1942_01640 BATR1942_11910
BATR1942_01640 BATR1942_10335
BATR1942_01640 BATR1942_12375
BATR1942_01640 BATR1942_12650
BATR1942_01640 BATR1942_16485
BATR1942_01640 BATR1942_15470
BATR1942_01640 BATR1942_12515
BATR1942_01640 BATR1942_17750
BATR1942_01640 BATR1942_11920
BATR1942_01640 BATR1942_15910
BATR1942_01640 BATR1942_01650
BATR1942_01640 BATR1942_20045
BATR1942_01640 BATR1942_11925
BATR1942_01640 BATR1942_10235
BATR1942_01640 BATR1942_05070
BATR1942_01640 BATR1942_10060
BATR1942_01640 BATR1942_13065
BATR1942_01640 BATR1942_16520
BATR1942_01640 BATR1942_11900
BATR1942_01645 BATR1942_01640
BATR1942_01645 BATR1942_12395
BATR1942_01645 BATR1942_20165
BATR1942_01645 BATR1942_13520
BATR1942_01645 BATR1942_05205
BATR1942_01645 BATR1942_16515
BATR1942_01645 BATR1942_05065
BATR1942_01645 BATR1942_12745
BATR1942_01645 BATR1942_20675
BATR1942_01645 BATR1942_20900
BATR1942_01645 BATR1942_06975
BATR1942_01645 BATR1942_01655
BATR1942_01645 BATR1942_05075
BATR1942_01645 BATR1942_08905
BATR1942_01645 BATR1942_12375
BATR1942_01645 BATR1942_12650
BATR1942_01645 BATR1942_05060
BATR1942_01645 BATR1942_11910
BATR1942_01645 BATR1942_12515
BATR1942_01645 BATR1942_15470
BATR1942_01645 BATR1942_16485
BATR1942_01645 BATR1942_20045
BATR1942_01645 BATR1942_17750
BATR1942_01645 BATR1942_11920
BATR1942_01645 BATR1942_01650
BATR1942_01645 BATR1942_15910
BATR1942_01645 BATR1942_11925
BATR1942_01645 BATR1942_10235
BATR1942_01645 BATR1942_05070
BATR1942_01645 BATR1942_10060
BATR1942_01645 BATR1942_13065
BATR1942_01645 BATR1942_11900
BATR1942_01645 BATR1942_16520
BATR1942_01645 BATR1942_10335
BATR1942_01645 BATR1942_11895
BATR1942_01650 BATR1942_05205
BATR1942_01650 BATR1942_05070
BATR1942_01650 BATR1942_16795
BATR1942_01650 BATR1942_17890
BATR1942_01650 BATR1942_05065
BATR1942_01650 BATR1942_01640
BATR1942_01650 BATR1942_01645
BATR1942_01650 BATR1942_01655
BATR1942_01650 BATR1942_05075
BATR1942_01650 BATR1942_12355
BATR1942_01650 BATR1942_12385
BATR1942_01650 BATR1942_05845
BATR1942_01650 BATR1942_03295
BATR1942_01650 BATR1942_10490
BATR1942_01650 BATR1942_10485
BATR1942_01650 BATR1942_10320
BATR1942_01650 BATR1942_10335
BATR1942_01650 BATR1942_05840
BATR1942_01650 BATR1942_12650
BATR1942_01650 BATR1942_11910
BATR1942_01650 BATR1942_05060
BATR1942_01650 BATR1942_10325
BATR1942_01650 BATR1942_02320
BATR1942_01650 BATR1942_12515
BATR1942_01650 BATR1942_14335
BATR1942_01650 BATR1942_10375
BATR1942_01650 BATR1942_10390
BATR1942_01650 BATR1942_13065
BATR1942_01650 BATR1942_12390
BATR1942_01650 BATR1942_07175
BATR1942_01650 BATR1942_02820
BATR1942_01650 BATR1942_02710
BATR1942_01650 BATR1942_10365
BATR1942_01650 BATR1942_10330
BATR1942_01650 BATR1942_07165
BATR1942_01650 BATR1942_07170
BATR1942_01655 BATR1942_19785
BATR1942_01655 BATR1942_01650
BATR1942_01655 BATR1942_10330
BATR1942_01655 BATR1942_08355
BATR1942_01655 BATR1942_05190
BATR1942_01655 BATR1942_14320
BATR1942_01655 BATR1942_07315
BATR1942_01655 BATR1942_10590
BATR1942_01655 BATR1942_02360
BATR1942_01655 BATR1942_05065
BATR1942_01655 BATR1942_01645
BATR1942_01655 BATR1942_01640
BATR1942_01655 BATR1942_10600
BATR1942_01655 BATR1942_05075
BATR1942_01655 BATR1942_10320
BATR1942_01655 BATR1942_08350
BATR1942_01655 BATR1942_06540
BATR1942_01655 BATR1942_09360
