ENSPTRP00000000288 ENSPTRP00000010318
ENSPTRP00000000288 ENSPTRP00000015856
ENSPTRP00000000288 ENSPTRP00000057035
ENSPTRP00000000288 ENSPTRP00000036989
ENSPTRP00000000288 ENSPTRP00000029553
ENSPTRP00000000288 ENSPTRP00000027484
ENSPTRP00000000288 ENSPTRP00000026576
ENSPTRP00000000288 ENSPTRP00000017443
ENSPTRP00000000288 ENSPTRP00000021142
ENSPTRP00000000288 ENSPTRP00000028167
ENSPTRP00000000288 ENSPTRP00000021163
ENSPTRP00000000288 ENSPTRP00000041281
ENSPTRP00000000288 ENSPTRP00000011804
ENSPTRP00000000294 ENSPTRP00000027781
ENSPTRP00000000294 ENSPTRP00000010916
ENSPTRP00000000294 ENSPTRP00000015094
ENSPTRP00000000294 ENSPTRP00000025761
ENSPTRP00000000294 ENSPTRP00000020731
ENSPTRP00000000294 ENSPTRP00000051007
ENSPTRP00000000294 ENSPTRP00000016716
ENSPTRP00000000294 ENSPTRP00000008712
ENSPTRP00000000300 ENSPTRP00000028763
ENSPTRP00000000303 ENSPTRP00000051798
ENSPTRP00000000303 ENSPTRP00000050361
ENSPTRP00000000303 ENSPTRP00000046674
ENSPTRP00000000303 ENSPTRP00000044805
ENSPTRP00000000303 ENSPTRP00000042655
ENSPTRP00000000303 ENSPTRP00000059247
ENSPTRP00000000303 ENSPTRP00000019781
ENSPTRP00000000303 ENSPTRP00000033495
ENSPTRP00000000303 ENSPTRP00000026673
ENSPTRP00000000303 ENSPTRP00000037544
ENSPTRP00000000303 ENSPTRP00000048599
ENSPTRP00000000303 ENSPTRP00000018591
ENSPTRP00000000303 ENSPTRP00000045907
ENSPTRP00000000303 ENSPTRP00000048910
ENSPTRP00000000303 ENSPTRP00000033426
ENSPTRP00000000303 ENSPTRP00000058287
ENSPTRP00000000303 ENSPTRP00000041051
ENSPTRP00000000303 ENSPTRP00000025629
ENSPTRP00000000303 ENSPTRP00000040970
ENSPTRP00000000303 ENSPTRP00000020404
ENSPTRP00000000303 ENSPTRP00000009452
ENSPTRP00000000303 ENSPTRP00000046408
ENSPTRP00000000303 ENSPTRP00000061371
ENSPTRP00000000303 ENSPTRP00000013706
ENSPTRP00000000303 ENSPTRP00000027281
ENSPTRP00000000303 ENSPTRP00000009519
ENSPTRP00000000308 ENSPTRP00000036376
