ENSLAFP00000012947 ENSLAFP00000007833
ENSLAFP00000012947 ENSLAFP00000016898
ENSLAFP00000012947 ENSLAFP00000003504
ENSLAFP00000012947 ENSLAFP00000001922
ENSLAFP00000012947 ENSLAFP00000001635
ENSLAFP00000013012 ENSLAFP00000001545
ENSLAFP00000013012 ENSLAFP00000016360
ENSLAFP00000013012 ENSLAFP00000010559
ENSLAFP00000013100 ENSLAFP00000016803
ENSLAFP00000013100 ENSLAFP00000001631
ENSLAFP00000013234 ENSLAFP00000012379
ENSLAFP00000013265 ENSLAFP00000016124
ENSLAFP00000013265 ENSLAFP00000016279
ENSLAFP00000013421 ENSLAFP00000000974
ENSLAFP00000013421 ENSLAFP00000009615
ENSLAFP00000013421 ENSLAFP00000002426
ENSLAFP00000013488 ENSLAFP00000012441
ENSLAFP00000013574 ENSLAFP00000002621
ENSLAFP00000013574 ENSLAFP00000017307
ENSLAFP00000013574 ENSLAFP00000026469
ENSLAFP00000013612 ENSLAFP00000000538
ENSLAFP00000013612 ENSLAFP00000012632
ENSLAFP00000013612 ENSLAFP00000014350
ENSLAFP00000013612 ENSLAFP00000008998
ENSLAFP00000013612 ENSLAFP00000011154
ENSLAFP00000013612 ENSLAFP00000013869
ENSLAFP00000013612 ENSLAFP00000019978
ENSLAFP00000013612 ENSLAFP00000020465
ENSLAFP00000013612 ENSLAFP00000025577
ENSLAFP00000013612 ENSLAFP00000027460
ENSLAFP00000013612 ENSLAFP00000025946
ENSLAFP00000013612 ENSLAFP00000006653
ENSLAFP00000013612 ENSLAFP00000007339
ENSLAFP00000013809 ENSLAFP00000002426
ENSLAFP00000013869 ENSLAFP00000025577
ENSLAFP00000013869 ENSLAFP00000020465
ENSLAFP00000013869 ENSLAFP00000027460
ENSLAFP00000013869 ENSLAFP00000025946
ENSLAFP00000013869 ENSLAFP00000012632
ENSLAFP00000013869 ENSLAFP00000000538
ENSLAFP00000013869 ENSLAFP00000013612
ENSLAFP00000013869 ENSLAFP00000014350
ENSLAFP00000013869 ENSLAFP00000008998
ENSLAFP00000013869 ENSLAFP00000011154
ENSLAFP00000013869 ENSLAFP00000019978
ENSLAFP00000014113 ENSLAFP00000014201
ENSLAFP00000014113 ENSLAFP00000025121
ENSLAFP00000014113 ENSLAFP00000002838
ENSLAFP00000014201 ENSLAFP00000014113
ENSLAFP00000014350 ENSLAFP00000025946
ENSLAFP00000014350 ENSLAFP00000006653
ENSLAFP00000014350 ENSLAFP00000020465
ENSLAFP00000014350 ENSLAFP00000025577
ENSLAFP00000014350 ENSLAFP00000027460
ENSLAFP00000014350 ENSLAFP00000012632
ENSLAFP00000014350 ENSLAFP00000000538
ENSLAFP00000014350 ENSLAFP00000013612
ENSLAFP00000014350 ENSLAFP00000007339
ENSLAFP00000014350 ENSLAFP00000008998
ENSLAFP00000014350 ENSLAFP00000002218
ENSLAFP00000014350 ENSLAFP00000011154
ENSLAFP00000014350 ENSLAFP00000013869
ENSLAFP00000014350 ENSLAFP00000019978
ENSLAFP00000014380 ENSLAFP00000012414
ENSLAFP00000014380 ENSLAFP00000005172
ENSLAFP00000014380 ENSLAFP00000014558
ENSLAFP00000014380 ENSLAFP00000004149
ENSLAFP00000014380 ENSLAFP00000010741
ENSLAFP00000014380 ENSLAFP00000003119
ENSLAFP00000014380 ENSLAFP00000009103
ENSLAFP00000014380 ENSLAFP00000002706
ENSLAFP00000014380 ENSLAFP00000009536
ENSLAFP00000014380 ENSLAFP00000011240
ENSLAFP00000014558 ENSLAFP00000012414
ENSLAFP00000014558 ENSLAFP00000005172
ENSLAFP00000014558 ENSLAFP00000004149
ENSLAFP00000014558 ENSLAFP00000010741
ENSLAFP00000014558 ENSLAFP00000014380
ENSLAFP00000014558 ENSLAFP00000003119
ENSLAFP00000014558 ENSLAFP00000009103
ENSLAFP00000014558 ENSLAFP00000009536
ENSLAFP00000014558 ENSLAFP00000002706
ENSLAFP00000014558 ENSLAFP00000011240
ENSLAFP00000014806 ENSLAFP00000025283
ENSLAFP00000014911 ENSLAFP00000022563
ENSLAFP00000016124 ENSLAFP00000016279
ENSLAFP00000016124 ENSLAFP00000013265
ENSLAFP00000016265 ENSLAFP00000001744
ENSLAFP00000016279 ENSLAFP00000016124
ENSLAFP00000016279 ENSLAFP00000013265
ENSLAFP00000016280 ENSLAFP00000005426
ENSLAFP00000016360 ENSLAFP00000010559
ENSLAFP00000016360 ENSLAFP00000013012
ENSLAFP00000016360 ENSLAFP00000001545
ENSLAFP00000016364 ENSLAFP00000007445
ENSLAFP00000016364 ENSLAFP00000000462
ENSLAFP00000016544 ENSLAFP00000006774
ENSLAFP00000016803 ENSLAFP00000013100
ENSLAFP00000016898 ENSLAFP00000001922
ENSLAFP00000016898 ENSLAFP00000007833
ENSLAFP00000016898 ENSLAFP00000001635
ENSLAFP00000016898 ENSLAFP00000003504
ENSLAFP00000016898 ENSLAFP00000012947
ENSLAFP00000016953 ENSLAFP00000001265
ENSLAFP00000017307 ENSLAFP00000002621
ENSLAFP00000017307 ENSLAFP00000013574
ENSLAFP00000017549 ENSLAFP00000020313
ENSLAFP00000017549 ENSLAFP00000028517
ENSLAFP00000017549 ENSLAFP00000005498
ENSLAFP00000017626 ENSLAFP00000002060
ENSLAFP00000017738 ENSLAFP00000005386
ENSLAFP00000017811 ENSLAFP00000009549
ENSLAFP00000017811 ENSLAFP00000012747
ENSLAFP00000017811 ENSLAFP00000008706
ENSLAFP00000017811 ENSLAFP00000010584
ENSLAFP00000017867 ENSLAFP00000012099
ENSLAFP00000018600 ENSLAFP00000005498
ENSLAFP00000018600 ENSLAFP00000020313
ENSLAFP00000018600 ENSLAFP00000023021
ENSLAFP00000018600 ENSLAFP00000011228
ENSLAFP00000018944 ENSLAFP00000024573
