SSMG_01279 SSMG_02159
SSMG_01279 SSMG_06515
SSMG_01293 SSMG_02149
SSMG_01293 SSMG_01336
SSMG_01293 SSMG_06313
SSMG_01293 SSMG_05272
SSMG_01293 SSMG_01335
SSMG_01293 SSMG_06296
SSMG_01293 SSMG_06188
SSMG_01293 SSMG_05763
SSMG_01295 SSMG_00539
SSMG_01295 SSMG_01884
SSMG_01295 SSMG_03925
SSMG_01295 SSMG_01521
SSMG_01295 SSMG_01296
SSMG_01295 SSMG_00540
SSMG_01295 SSMG_03926
SSMG_01295 SSMG_03036
SSMG_01295 SSMG_00542
SSMG_01295 SSMG_03924
SSMG_01295 SSMG_01885
SSMG_01295 SSMG_03538
SSMG_01296 SSMG_06312
SSMG_01296 SSMG_03854
SSMG_01296 SSMG_01613
SSMG_01296 SSMG_01295
SSMG_01296 SSMG_06956
SSMG_01296 SSMG_06364
SSMG_01296 SSMG_04646
SSMG_01296 SSMG_07508
SSMG_01296 SSMG_06860
SSMG_01303 SSMG_07368
SSMG_01303 SSMG_06923
SSMG_01303 SSMG_02949
SSMG_01303 SSMG_01079
SSMG_01311 SSMG_01574
SSMG_01314 SSMG_00779
SSMG_01320 SSMG_01853
SSMG_01320 SSMG_06415
SSMG_01320 SSMG_07399
SSMG_01320 SSMG_04204
SSMG_01320 SSMG_02257
SSMG_01326 SSMG_06667
SSMG_01327 SSMG_06667
SSMG_01328 SSMG_06667
SSMG_01333 SSMG_07291
SSMG_01333 SSMG_02842
SSMG_01333 SSMG_01337
SSMG_01333 SSMG_06707
SSMG_01333 SSMG_01719
SSMG_01335 SSMG_01337
SSMG_01335 SSMG_06508
SSMG_01335 SSMG_01293
SSMG_01336 SSMG_01337
SSMG_01336 SSMG_06508
SSMG_01336 SSMG_01293
SSMG_01337 SSMG_01333
SSMG_01337 SSMG_02149
SSMG_01337 SSMG_03365
SSMG_01337 SSMG_01336
SSMG_01337 SSMG_05562
SSMG_01337 SSMG_05763
SSMG_01337 SSMG_04316
SSMG_01337 SSMG_06313
SSMG_01337 SSMG_06296
SSMG_01337 SSMG_01335
SSMG_01349 SSMG_06915
SSMG_01357 SSMG_05260
SSMG_01357 SSMG_05526
SSMG_01357 SSMG_04637
SSMG_01357 SSMG_03972
SSMG_01357 SSMG_01664
SSMG_01357 SSMG_01719
SSMG_01357 SSMG_00609
SSMG_01357 SSMG_01711
SSMG_01359 SSMG_04013
SSMG_01369 SSMG_02842
SSMG_01369 SSMG_01370
SSMG_01369 SSMG_06707
SSMG_01369 SSMG_07291
SSMG_01370 SSMG_07291
SSMG_01370 SSMG_01369
SSMG_01370 SSMG_06707
SSMG_01370 SSMG_02842
SSMG_01374 SSMG_00697
SSMG_01375 SSMG_01574
SSMG_01376 SSMG_00617
SSMG_01376 SSMG_00615
SSMG_01376 SSMG_06862
SSMG_01376 SSMG_03269
SSMG_01376 SSMG_07474
SSMG_01376 SSMG_03268
SSMG_01376 SSMG_03744
SSMG_01376 SSMG_06124
SSMG_01386 SSMG_04855
SSMG_01390 SSMG_07010
SSMG_01428 SSMG_04494
SSMG_01428 SSMG_04556
SSMG_01428 SSMG_02256
SSMG_01438 SSMG_05597
SSMG_01438 SSMG_01836
SSMG_01438 SSMG_05598
SSMG_01438 SSMG_01835
SSMG_01440 SSMG_02972
SSMG_01440 SSMG_02141
SSMG_01440 SSMG_07433
SSMG_01440 SSMG_05849
SSMG_01442 SSMG_01664
SSMG_01442 SSMG_00609
SSMG_01442 SSMG_01711
SSMG_01442 SSMG_05526
SSMG_01442 SSMG_01443
SSMG_01442 SSMG_07399
SSMG_01443 SSMG_01442
SSMG_01443 SSMG_05526
SSMG_01443 SSMG_07399
SSMG_01443 SSMG_01664
SSMG_01443 SSMG_00609
SSMG_01443 SSMG_01711
SSMG_01445 SSMG_00213
SSMG_01445 SSMG_07399
SSMG_01445 SSMG_06123
SSMG_01445 SSMG_05310
SSMG_01446 SSMG_01704
SSMG_01457 SSMG_05260
SSMG_01457 SSMG_05526
SSMG_01457 SSMG_04637
SSMG_01457 SSMG_01664
SSMG_01457 SSMG_03972
SSMG_01457 SSMG_00609
SSMG_01457 SSMG_01719
SSMG_01457 SSMG_01711
SSMG_01473 SSMG_02159
SSMG_01473 SSMG_02064
SSMG_01473 SSMG_06320
SSMG_01473 SSMG_06515
SSMG_01473 SSMG_04714
SSMG_01473 SSMG_01478
SSMG_01473 SSMG_04727
SSMG_01473 SSMG_03678
SSMG_01473 SSMG_06126
SSMG_01473 SSMG_01237
SSMG_01473 SSMG_01475
SSMG_01473 SSMG_05506
SSMG_01474 SSMG_02159
SSMG_01474 SSMG_02064
SSMG_01474 SSMG_06320
SSMG_01474 SSMG_06515
SSMG_01474 SSMG_06126
SSMG_01474 SSMG_01237
SSMG_01474 SSMG_01475
SSMG_01474 SSMG_05506
SSMG_01474 SSMG_01478
SSMG_01474 SSMG_04714
SSMG_01474 SSMG_03678
SSMG_01474 SSMG_04727
SSMG_01475 SSMG_07331
SSMG_01475 SSMG_02661
SSMG_01475 SSMG_03879
SSMG_01475 SSMG_02523
SSMG_01475 SSMG_07404
SSMG_01475 SSMG_02161
SSMG_01475 SSMG_06136
SSMG_01475 SSMG_01474
SSMG_01475 SSMG_01473
SSMG_01475 SSMG_01279
SSMG_01478 SSMG_07830
SSMG_01478 SSMG_01473
SSMG_01478 SSMG_01479
SSMG_01478 SSMG_07627
SSMG_01478 SSMG_01474
SSMG_01478 SSMG_04760
SSMG_01478 SSMG_04669
SSMG_01479 SSMG_06126
SSMG_01479 SSMG_05506
SSMG_01479 SSMG_01478
SSMG_01487 SSMG_01489
SSMG_01487 SSMG_04190
SSMG_01487 SSMG_03088
SSMG_01487 SSMG_04192
