VIT_00s0179g00350.t01 VIT_01s0026g02490.t01
VIT_00s0179g00370.t01 VIT_05s0029g01060.t01
VIT_00s0179g00370.t01 VIT_15s0021g02790.t01
VIT_00s0179g00380.t01 VIT_01s0137g00070.t01
VIT_00s0179g00380.t01 VIT_01s0137g00170.t01
VIT_00s0179g00380.t01 VIT_01s0137g00160.t01
VIT_00s0179g00380.t01 VIT_01s0137g00130.t01
VIT_00s0179g00380.t01 VIT_01s0137g00180.t01
VIT_00s0181g00130.t01 VIT_00s0181g00140.t01
VIT_00s0181g00130.t01 VIT_08s0007g06540.t01
VIT_00s0181g00130.t01 VIT_12s0028g03780.t01
VIT_00s0181g00140.t01 VIT_08s0007g06540.t01
VIT_00s0181g00140.t01 VIT_00s0181g00130.t01
VIT_00s0181g00140.t01 VIT_12s0028g03780.t01
VIT_00s0181g00180.t01 VIT_00s0181g00200.t01
VIT_00s0181g00180.t01 VIT_19s0014g03660.t01
VIT_00s0181g00190.t01 VIT_00s0181g00210.t01
VIT_00s0181g00200.t01 VIT_19s0014g03660.t01
VIT_00s0181g00200.t01 VIT_00s0181g00180.t01
VIT_00s0181g00210.t01 VIT_00s0181g00190.t01
VIT_00s0181g00250.t01 VIT_06s0004g05890.t01
VIT_00s0181g00250.t01 VIT_05s0020g02840.t01
VIT_00s0181g00250.t01 VIT_18s0001g01870.t01
VIT_00s0181g00250.t01 VIT_08s0007g01680.t01
VIT_00s0181g00250.t01 VIT_00s0598g00030.t01
VIT_00s0181g00250.t01 VIT_01s0010g01110.t01
VIT_00s0181g00250.t01 VIT_18s0001g00370.t01
VIT_00s0181g00250.t01 VIT_01s0026g02310.t01
VIT_00s0181g00250.t01 VIT_05s0029g01210.t01
VIT_00s0181g00250.t01 VIT_01s0010g03940.t01
VIT_00s0181g00250.t01 VIT_08s0007g07090.t01
VIT_00s0184g00050.t01 VIT_10s0116g01260.t01
VIT_00s0184g00050.t01 VIT_12s0059g00810.t01
VIT_00s0186g00020.t01 VIT_07s0031g00160.t01
VIT_00s0186g00020.t01 VIT_18s0001g10100.t01
VIT_00s0186g00080.t01 VIT_18s0001g10100.t01
VIT_00s0186g00080.t01 VIT_07s0031g00160.t01
VIT_00s0187g00310.t01 VIT_02s0025g02980.t01
VIT_00s0187g00310.t01 VIT_09s0002g07880.t01
VIT_00s0187g00310.t01 VIT_04s0023g02050.t01
VIT_00s0187g00310.t01 VIT_19s0090g01330.t01
VIT_00s0187g00310.t01 VIT_03s0088g01290.t01
VIT_00s0187g00310.t01 VIT_08s0040g02470.t01
VIT_00s0187g00310.t01 VIT_11s0118g00350.t01
VIT_00s0187g00310.t01 VIT_14s0060g01280.t01
VIT_00s0187g00320.t01 VIT_00s2422g00010.t01
VIT_00s0187g00320.t01 VIT_15s0048g01260.t01
VIT_00s0187g00320.t01 VIT_18s0001g14230.t01
VIT_00s0187g00320.t01 VIT_05s0102g00710.t01
VIT_00s0187g00320.t01 VIT_11s0016g03070.t01
VIT_00s0187g00320.t01 VIT_16s0022g02340.t01
VIT_00s0187g00320.t01 VIT_09s0002g03390.t01
VIT_00s0187g00320.t01 VIT_06s0061g00040.t01
VIT_00s0187g00320.t01 VIT_15s0046g00110.t01
VIT_00s0187g00320.t01 VIT_18s0089g01230.t01
VIT_00s0187g00320.t01 VIT_14s0006g01410.t01
VIT_00s0187g00340.t01 VIT_00s0304g00040.t01
VIT_00s0187g00340.t01 VIT_12s0035g02100.t01
VIT_00s0187g00340.t01 VIT_05s0077g02040.t01
VIT_00s0187g00340.t01 VIT_14s0219g00150.t01
VIT_00s0187g00340.t01 VIT_14s0060g01700.t01
VIT_00s0187g00340.t01 VIT_07s0005g00880.t01
VIT_00s0187g00340.t01 VIT_12s0035g02110.t01
VIT_00s0187g00340.t01 VIT_04s0023g01650.t01
VIT_00s0187g00340.t01 VIT_15s0048g00950.t01
VIT_00s0187g00380.t01 VIT_13s0067g03440.t01
VIT_00s0187g00380.t01 VIT_19s0090g01220.t01
VIT_00s0187g00380.t01 VIT_11s0016g05360.t01
VIT_00s0187g00380.t01 VIT_09s0002g06760.t01
VIT_00s0187g00380.t01 VIT_07s0031g03170.t01
VIT_00s0187g00380.t01 VIT_18s0001g11910.t01
VIT_00s0187g00380.t01 VIT_08s0040g02800.t01
VIT_00s0187g00380.t01 VIT_11s0052g01840.t01
VIT_00s0187g00380.t01 VIT_02s0025g04410.t01
VIT_00s0187g00380.t01 VIT_08s0007g05800.t01
VIT_00s0187g00380.t01 VIT_08s0007g08110.t01
VIT_00s0187g00380.t01 VIT_11s0016g05370.t01
VIT_00s0187g00380.t01 VIT_04s0008g05450.t01
VIT_00s0187g00380.t01 VIT_05s0077g01830.t01
VIT_00s0187g00380.t01 VIT_12s0178g00150.t01
VIT_00s0187g00380.t01 VIT_19s0014g03790.t01
VIT_00s0187g00380.t01 VIT_12s0057g00010.t01
VIT_00s0187g00380.t01 VIT_00s0264g00100.t01
VIT_00s0187g00380.t01 VIT_17s0000g06970.t01
