MRA_0876 MtubH3_010100001825
MRA_0876 MtubH3_010100016821
MRA_0876 MtubH3_010100005982
MRA_0876 MtubH3_010100001550
MRA_0876 MtubH3_010100017523
MRA_0876 MtubH3_010100012540
MRA_0876 MtubH3_010100000908
MRA_0887 MtubH3_010100010089
MRA_0891 MtubH3_010100010069
MRA_0904 MtubH3_010100009979
MRA_0906 MtubH3_010100006553
MRA_0909 MtubH3_010100006528
MRA_0912 MtubH3_010100006518
MRA_0914 MtubH3_010100006508
MRA_0936 MtubH3_010100005617
MRA_0938 MtubH3_010100005637
MRA_0938 MtubH3_010100005622
MRA_0938 MtubH3_010100005652
MRA_0938 MtubH3_010100005617
MRA_0938 MtubH3_010100005657
MRA_0938 MtubH3_010100005642
MRA_0938 MtubH3_010100005647
MRA_0939 MtubH3_010100005632
MRA_0942 MtubH3_010100005647
MRA_0946 MtubH3_010100007112
MRA_0953 MtubH3_010100007152
MRA_0955 MRA_2193
MRA_0955 MtubH3_010100004092
MRA_0955 MtubH3_010100007167
MRA_0959 MtubH3_010100022855
MRA_0959 MtubH3_010100013437
MRA_0959 MtubH3_010100014880
MRA_0959 MtubH3_010100013432
MRA_0959 MRA_3360
MRA_0959 MtubH3_010100016711
MRA_0959 MRA_3361
MRA_0959 MtubH3_010100013322
MRA_0963 MtubH3_010100006703
MRA_0964 MtubH3_010100006708
MRA_0974 MtubH3_010100006773
MRA_0990 MtubH3_010100008443
MRA_0992 MtubH3_010100008453
MRA_1014 MRA_0822
MRA_1018 MtubH3_010100008900
MRA_1020 MtubH3_010100008890
MRA_1022 MtubH3_010100008870
MRA_1026 MtubH3_010100008845
MRA_1031 MtubH3_010100015005
MRA_1031 MtubH3_010100018758
MRA_1031 MtubH3_010100015635
MRA_1031 MtubH3_010100022690
MRA_1031 MRA_1627
MRA_1031 MtubH3_010100003842
MRA_1031 MtubH3_010100012450
MRA_1031 MtubH3_010100010896
MRA_1031 MtubH3_010100007152
MRA_1031 MtubH3_010100003837
MRA_1031 MtubH3_010100017615
MRA_1031 MtubH3_010100003847
MRA_1031 MtubH3_010100002618
MRA_1031 MtubH3_010100022765
MRA_1058 MtubH3_010100006431
MRA_1080 MtubH3_010100004752
MRA_1096 MRA_2150
MRA_1100 MtubH3_010100000424
MRA_1100 MtubH3_010100022153
MRA_1100 MtubH3_010100020683
