PPSIR1_32622 PPSIR1_17820
PPSIR1_32622 PPSIR1_31433
PPSIR1_32622 PPSIR1_31438
PPSIR1_32647 PPSIR1_32657
PPSIR1_32647 PPSIR1_32652
PPSIR1_32652 PPSIR1_32647
PPSIR1_32652 PPSIR1_36612
PPSIR1_32657 PPSIR1_30958
PPSIR1_32657 PPSIR1_12478
PPSIR1_32657 PPSIR1_32647
PPSIR1_32759 PPSIR1_25066
PPSIR1_32759 PPSIR1_23219
PPSIR1_32764 PPSIR1_01814
PPSIR1_32764 PPSIR1_29725
PPSIR1_32764 PPSIR1_35117
PPSIR1_32764 PPSIR1_29730
PPSIR1_32784 PPSIR1_11913
PPSIR1_32849 PPSIR1_09980
PPSIR1_32904 PPSIR1_11756
PPSIR1_32904 PPSIR1_39670
PPSIR1_32904 PPSIR1_07862
PPSIR1_32904 PPSIR1_40025
PPSIR1_32904 PPSIR1_25706
PPSIR1_32904 PPSIR1_25711
PPSIR1_32904 PPSIR1_14045
PPSIR1_32904 PPSIR1_01944
PPSIR1_32904 PPSIR1_14365
PPSIR1_32904 PPSIR1_01939
PPSIR1_32904 PPSIR1_29820
PPSIR1_32904 PPSIR1_42291
PPSIR1_32964 PPSIR1_37234
PPSIR1_32964 PPSIR1_37219
PPSIR1_32964 PPSIR1_37669
PPSIR1_33586 PPSIR1_41459
PPSIR1_33766 PPSIR1_31588
PPSIR1_33891 PPSIR1_03443
PPSIR1_33891 PPSIR1_30898
PPSIR1_34098 PPSIR1_37674
PPSIR1_34098 PPSIR1_31653
PPSIR1_34098 PPSIR1_37659
PPSIR1_34098 PPSIR1_34103
PPSIR1_34103 PPSIR1_37674
PPSIR1_34103 PPSIR1_34098
PPSIR1_34103 PPSIR1_37659
PPSIR1_34103 PPSIR1_31653
PPSIR1_34108 PPSIR1_17930
PPSIR1_34108 PPSIR1_15470
PPSIR1_34108 PPSIR1_34168
PPSIR1_34118 PPSIR1_27898
PPSIR1_34118 PPSIR1_22354
PPSIR1_34118 PPSIR1_21799
PPSIR1_34168 PPSIR1_36017
