SpneT_02000256 SpneT_02000258
SpneT_02000256 SpneT_02000255
SpneT_02000256 SpneT_02000257
SpneT_02000257 SpneT_02000256
SpneT_02000257 SpneT_02000258
SpneT_02000257 SpneT_02000255
SpneT_02000258 SpneT_02000238
SpneT_02000258 SpneT_02000257
SpneT_02000258 SpneT_02001232
SpneT_02000258 SP_1397
SpneT_02000258 SpneT_02000239
SpneT_02000258 SpneT_02000256
SpneT_02000258 SpneT_02001027
SpneT_02000258 SpneT_02000265
SpneT_02000258 SpneT_02001353
SpneT_02000258 SpneT_02000255
SpneT_02000259 SpneT_02001762
SpneT_02000259 SpneT_02000024
SpneT_02000259 SpneT_02000443
SpneT_02000261 SP_0446
SpneT_02000261 SpneT_02000911
SpneT_02000261 SpneT_02000910
SpneT_02000265 SpneT_02000258
SpneT_02000265 SpneT_02000269
SpneT_02000265 SpneT_02000238
SpneT_02000265 SpneT_02001234
SpneT_02000265 SpneT_02001232
SpneT_02000265 SpneT_02000268
SpneT_02000265 SP_1397
SpneT_02000265 SpneT_02001233
SpneT_02000265 SpneT_02001027
SpneT_02000265 SpneT_02000239
SpneT_02000265 SpneT_02001235
SpneT_02000265 SpneT_02001353
SpneT_02000265 SpneT_02000267
SpneT_02000265 SpneT_02000266
SpneT_02000266 SpneT_02000269
SpneT_02000266 SpneT_02000267
SpneT_02000266 SpneT_02001232
SpneT_02000266 SpneT_02001233
SpneT_02000266 SpneT_02000268
SpneT_02000266 SpneT_02001234
SpneT_02000266 SpneT_02001235
SpneT_02000266 SpneT_02000265
SpneT_02000267 SpneT_02001235
SpneT_02000267 SpneT_02000266
SpneT_02000267 SpneT_02000269
SpneT_02000267 SpneT_02001232
SpneT_02000267 SpneT_02001233
SpneT_02000267 SpneT_02000268
SpneT_02000267 SpneT_02001234
SpneT_02000267 SpneT_02000265
SpneT_02000268 SpneT_02001233
SpneT_02000268 SpneT_02000269
SpneT_02000268 SpneT_02001232
SpneT_02000268 SpneT_02001234
SpneT_02000268 SpneT_02000265
SpneT_02000268 SpneT_02000267
SpneT_02000268 SpneT_02001235
SpneT_02000268 SpneT_02000266
SpneT_02000269 SpneT_02000267
SpneT_02000269 SpneT_02001235
SpneT_02000269 SP_1400
