B0035.11.1 W01G7.3.2
B0035.11.1 Y66D12A.15
B0035.11.1 Y39B6A.36
B0035.11.1 Y37E3.3
B0035.11.1 F35F11.1.1
B0035.11.1 C32F10.5
B0035.11.1 C26E6.4.2
B0035.11.1 F54C4.2
B0035.11.1 F43B10.2a
B0035.11.1 T07C4.2
B0035.11.1 F23B2.13
B0035.11.1 T20B12.8
B0035.11.1 Y48B6A.14.2
B0035.11.1 K08E4.1
B0035.11.1 F55A3.3.1
B0035.11.1 F54F7.10
B0035.11.1 C36B1.3
B0035.11.1 F36F2.6
B0035.11.1 F26F4.11
B0035.11.1 C32F10.2
B0035.11.1 F53G2.7.2
B0035.11.1 Y24D9A.1a
B0035.11.1 Y49F6B.1
B0035.11.1 ZK863.3.1
B0035.11.1 W03H1.2
B0035.11.1 B0513.2a.2
B0035.11.1 F25B3.6
B0035.11.1 F36A4.7.2
B0035.11.1 T16H12.4.1
B0035.11.1 F44B9.3a
B0035.11.1 B0464.2c
B0035.11.1 Y73F8A.24a
B0035.11.1 C26B2.6
B0035.11.1 Y39G10AL.3.2
B0035.11.1 Y82E9BR.15
B0035.11.1 Y54E10BR.6
B0035.11.1 F44B9.4a.2
B0035.11.1 F43D2.1
B0035.11.1 D1007.16
B0035.11.1 Y41C4A.10
B0035.11.1 Y55B1AL.2
B0035.11.1 C01F1.1
B0035.11.1 R02D3.3.1
B0035.11.1 Y97E10AR.5
B0035.11.1 C06A1.5
B0035.11.1 ZK1128.4
B0035.11.1 T24H10.1
B0035.11.1 Y50D7A.11
B0035.11.1 C55A6.9
B0035.11.1 H27M09.2
B0035.11.1 R03D7.4
B0035.14.2 F17A9.6
B0035.14.2 JC8.6a
B0035.14.2 C18D1.1.2
B0035.14.2 F58E6.10
B0035.14.2 R07B1.1
B0035.16.1 B0464.5a.1
B0035.16.1 T07C4.2
B0035.16.1 Y11D7A.12a
B0035.16.1 T07C4.6.1
B0035.16.1 F10G8.3.2
B0035.16.1 C17A2.8
B0035.1b F29F11.5a
B0035.1b Y54G9A.6
B0035.1b T28F12.2a.2
B0035.1b C49A1.4a
B0035.1b Y51H4A.4
B0035.1b R02F2.5
B0035.1b K09B11.9a
B0035.1b T23C6.1.1
B0035.1b Y49E10.14a.2
B0035.1b B0464.5a.1
B0035.2 R05F9.10
B0035.2 F26E4.8b
B0035.2 C36E8.5.1
B0035.4.1 T06G6.9
B0035.4.1 R151.9.2
B0035.4.1 F21C3.5
B0035.4.1 C08F8.1a
B0035.4.1 H20J04.5
B0035.4.1 F26C11.2
B0035.4.1 F58E6.10
B0035.5.1 T21B10.2c.2
B0035.5.1 F25H5.3e
B0035.5.1 C50D2.7.2
B0035.5.1 F13D12.2.2
B0035.5.1 F01F1.12a.1
B0035.5.1 F57B10.3a
B0035.5.1 K10B3.7.2
B0035.5.1 Y17G7B.7.2
B0035.5.1 T05H10.6b
B0035.5.1 F14B4.2a.2
B0035.5.1 Y57G11C.3a
B0035.5.1 T05D4.1.2
B0035.5.1 Y43F4B.5a.1
B0035.5.1 R05F9.6.1
B0035.5.1 Y87G2A.8b
B0035.5.1 C04C3.3.2
B0035.5.1 K10B3.8.2
B0035.5.1 T09F3.3.2
B0035.5.1 F33H1.2
B0035.6 ZK1225.6
B0035.6 D2007.2
B0035.9 F54C8.2
B0041.2d W07B3.2b.2
B0041.2d W02B9.1b
B0041.4.2 C14B9.7.1
B0041.4.2 Y54E2A.11a.1
B0041.4.2 Y40B10A.2
B0041.4.2 M01F1.2.2
B0041.4.2 T08B2.10.2
B0041.4.2 T22F3.4.1
B0041.4.2 F46C8.5
B0041.4.2 C27A2.2a.3
B0041.4.2 K08C9.7
B0041.4.2 F28C6.7a.2
B0041.4.2 Y24D9A.4a
B0041.4.2 F10B5.1.2
B0041.4.2 R151.3.1
B0041.4.2 F52B5.6.2
B0041.4.2 Y75B8A.1
B0041.4.2 F37E3.1
B0041.4.2 ZC434.2.2
B0041.4.2 C23G10.3.2
B0041.4.2 Y41D4B.5.1
B0041.4.2 M110.4a
B0041.4.2 Y71F9AL.13a.1
B0041.4.2 T05E11.1.1
B0041.4.2 K02F3.11.1
B0041.4.2 C04F12.4.2
B0041.4.2 T07A9.11.3
B0041.4.2 Y48G8AL.8a.2
B0041.4.2 Y105E8A.16.1
B0041.4.2 Y71A12B.1.2
B0041.4.2 B0336.10.1
B0041.4.2 B0412.4.1
B0041.4.2 Y37E3.7.1
B0041.4.2 F56F3.5.2
B0041.4.2 D1007.12.2
B0041.4.2 F33D11.10.1
B0041.4.2 F53G12.10.2
B0041.4.2 R08D7.3.1
B0041.4.2 ZK265.4
B0041.4.2 K02B2.5.2
B0041.4.2 F25H2.10.2
B0041.4.2 T16G1.11.1
B0041.4.2 F26C11.2
B0041.4.2 JC8.3a
B0041.4.2 F46B6.3b
B0041.4.2 B0513.3a
B0041.4.2 B0511.10.2
B0041.4.2 C48B6.6a
B0041.4.2 H19N07.1a.1
B0041.4.2 Y37E3.8a.2
B0041.4.2 Y106G6H.2a.3
B0041.4.2 Y62E10A.1.1
B0041.4.2 C37A2.7.1
B0041.4.2 T01C3.6.1
B0041.4.2 F55D10.2.2
B0041.4.2 T05H4.6.1
B0041.4.2 C27D11.1.1
B0041.4.2 Y43B11AR.4.1
B0041.4.2 W08E3.2
B0041.4.2 B0250.1.2
B0041.4.2 R03C1.3a
