SSE37_09608 SSE37_04960
SSE37_09613 SSE37_14779
SSE37_09618 SSE37_05375
SSE37_09618 SSE37_22944
SSE37_09618 SSE37_02950
SSE37_09618 SSE37_05385
SSE37_09618 SSE37_18907
SSE37_09623 SSE37_21207
SSE37_09623 SSE37_21650
SSE37_09623 SSE37_05260
SSE37_09638 SSE37_14358
SSE37_09643 SSE37_08703
SSE37_09683 SSE37_09688
SSE37_09683 SSE37_09693
SSE37_09688 SSE37_09693
SSE37_09688 SSE37_09683
SSE37_09693 SSE37_09688
SSE37_09693 SSE37_09683
SSE37_09743 SSE37_09753
SSE37_09743 SSE37_09748
SSE37_09748 SSE37_09743
SSE37_09748 SSE37_09753
SSE37_09753 SSE37_09743
SSE37_09753 SSE37_09748
SSE37_09763 SSE37_12551
SSE37_09958 SSE37_19822
SSE37_10013 SSE37_10083
SSE37_10013 SSE37_06849
SSE37_10058 SSE37_08943
SSE37_10058 SSE37_07198
SSE37_10083 SSE37_06849
SSE37_10083 SSE37_10013
SSE37_10113 SSE37_11949
SSE37_10113 SSE37_01000
SSE37_10113 SSE37_03700
SSE37_10113 SSE37_11144
SSE37_10113 SSE37_08548
SSE37_10113 SSE37_21745
SSE37_10113 SSE37_12681
SSE37_10113 SSE37_21680
SSE37_10123 SSE37_01000
SSE37_10123 SSE37_11949
SSE37_10123 SSE37_03700
SSE37_10123 SSE37_11144
SSE37_10123 SSE37_08548
SSE37_10123 SSE37_21745
SSE37_10123 SSE37_12681
SSE37_10123 SSE37_21680
SSE37_10148 SSE37_01000
SSE37_10148 SSE37_00115
SSE37_10148 SSE37_03700
SSE37_10293 SSE37_12234
SSE37_10353 SSE37_24634
SSE37_10353 SSE37_09513
SSE37_10392 SSE37_10397
SSE37_10392 SSE37_10402
SSE37_10397 SSE37_10402
SSE37_10397 SSE37_10392
SSE37_10402 SSE37_10392
SSE37_10402 SSE37_10397
SSE37_10407 SSE37_14168
SSE37_10407 SSE37_03565
SSE37_10407 SSE37_12741
SSE37_10407 SSE37_06077
SSE37_10422 SSE37_14168
SSE37_10422 SSE37_03565
SSE37_10422 SSE37_12741
SSE37_10422 SSE37_06077
SSE37_10592 SSE37_10607
SSE37_10607 SSE37_10592
SSE37_10617 SSE37_18055
SSE37_10617 SSE37_16983
SSE37_10617 SSE37_21700
SSE37_10617 SSE37_24679
SSE37_10627 SSE37_08258
SSE37_10632 SSE37_08258
SSE37_10697 SSE37_21720
SSE37_10697 SSE37_11194
SSE37_10697 SSE37_09583
SSE37_10697 SSE37_25208
SSE37_10697 SSE37_04965
SSE37_10909 SSE37_13783
SSE37_10909 SSE37_15633
SSE37_10909 SSE37_20422
SSE37_11044 SSE37_15196
SSE37_11044 SSE37_12304
SSE37_11114 SSE37_09368
SSE37_11114 SSE37_04575
SSE37_11114 SSE37_05747
SSE37_11114 SSE37_05742
SSE37_11114 SSE37_09373
SSE37_11134 SSE37_11949
SSE37_11134 SSE37_03700
SSE37_11134 SSE37_01000
SSE37_11134 SSE37_21680
SSE37_11134 SSE37_11144
SSE37_11134 SSE37_08548
SSE37_11134 SSE37_21745
SSE37_11134 SSE37_12681
SSE37_11144 SSE37_02695
SSE37_11144 SSE37_12329
SSE37_11144 SSE37_00985
SSE37_11144 SSE37_08553
SSE37_11144 SSE37_06072
SSE37_11144 SSE37_00290
SSE37_11144 SSE37_13523
SSE37_11144 SSE37_00990
SSE37_11144 SSE37_00210
SSE37_11144 SSE37_07408
SSE37_11144 SSE37_00180
SSE37_11144 SSE37_10123
SSE37_11144 SSE37_12134
SSE37_11144 SSE37_02685
SSE37_11144 SSE37_20227
SSE37_11144 SSE37_11134
SSE37_11144 SSE37_10113
SSE37_11144 SSE37_19952
SSE37_11194 SSE37_23454
SSE37_11194 SSE37_01065
SSE37_11194 SSE37_02785
SSE37_11194 SSE37_06729
