ENSOGAP00000008889 ENSOGAP00000004744
ENSOGAP00000008942 ENSOGAP00000007607
ENSOGAP00000008942 ENSOGAP00000012152
ENSOGAP00000008942 ENSOGAP00000004405
ENSOGAP00000008942 ENSOGAP00000009518
ENSOGAP00000008942 ENSOGAP00000015044
ENSOGAP00000008942 ENSOGAP00000007429
ENSOGAP00000008969 ENSOGAP00000007910
ENSOGAP00000008969 ENSOGAP00000013227
ENSOGAP00000009024 ENSOGAP00000017269
ENSOGAP00000009024 ENSOGAP00000011723
ENSOGAP00000009024 ENSOGAP00000022236
ENSOGAP00000009024 ENSOGAP00000020445
ENSOGAP00000009024 ENSOGAP00000016981
ENSOGAP00000009024 ENSOGAP00000013439
ENSOGAP00000009024 ENSOGAP00000020613
ENSOGAP00000009024 ENSOGAP00000014549
ENSOGAP00000009024 ENSOGAP00000018119
ENSOGAP00000009024 ENSOGAP00000006092
ENSOGAP00000009024 ENSOGAP00000016808
ENSOGAP00000009024 ENSOGAP00000015759
ENSOGAP00000009024 ENSOGAP00000018926
ENSOGAP00000009024 ENSOGAP00000006498
ENSOGAP00000009024 ENSOGAP00000021478
ENSOGAP00000009024 ENSOGAP00000018421
ENSOGAP00000009024 ENSOGAP00000002751
ENSOGAP00000009024 ENSOGAP00000004013
ENSOGAP00000009125 ENSOGAP00000004853
ENSOGAP00000009151 ENSOGAP00000013227
ENSOGAP00000009151 ENSOGAP00000017428
ENSOGAP00000009151 ENSOGAP00000004119
ENSOGAP00000009151 ENSOGAP00000007910
ENSOGAP00000009457 ENSOGAP00000007910
ENSOGAP00000009457 ENSOGAP00000010172
ENSOGAP00000009457 ENSOGAP00000001945
ENSOGAP00000009457 ENSOGAP00000013227
ENSOGAP00000009518 ENSOGAP00000015044
ENSOGAP00000009518 ENSOGAP00000008942
ENSOGAP00000009518 ENSOGAP00000007607
ENSOGAP00000009518 ENSOGAP00000012152
ENSOGAP00000009518 ENSOGAP00000004405
ENSOGAP00000009518 ENSOGAP00000007429
ENSOGAP00000009821 ENSOGAP00000011845
ENSOGAP00000009823 ENSOGAP00000005095
ENSOGAP00000009823 ENSOGAP00000020555
ENSOGAP00000009823 ENSOGAP00000002563
ENSOGAP00000009855 ENSOGAP00000000087
ENSOGAP00000009949 ENSOGAP00000005558
ENSOGAP00000010172 ENSOGAP00000013227
ENSOGAP00000010172 ENSOGAP00000007910
ENSOGAP00000010172 ENSOGAP00000009457
ENSOGAP00000010172 ENSOGAP00000001945
ENSOGAP00000010635 ENSOGAP00000013120
ENSOGAP00000010635 ENSOGAP00000013227
ENSOGAP00000010635 ENSOGAP00000021585
ENSOGAP00000010635 ENSOGAP00000004614
ENSOGAP00000010635 ENSOGAP00000014694
ENSOGAP00000010635 ENSOGAP00000001933
ENSOGAP00000010635 ENSOGAP00000007910
ENSOGAP00000010635 ENSOGAP00000008283
ENSOGAP00000011011 ENSOGAP00000014331
ENSOGAP00000011011 ENSOGAP00000020582
ENSOGAP00000011011 ENSOGAP00000022428
ENSOGAP00000011300 ENSOGAP00000005610
ENSOGAP00000011522 ENSOGAP00000013227
ENSOGAP00000011522 ENSOGAP00000007910
ENSOGAP00000011723 ENSOGAP00000013439
ENSOGAP00000011723 ENSOGAP00000017269
ENSOGAP00000011723 ENSOGAP00000002751
ENSOGAP00000011723 ENSOGAP00000018737
ENSOGAP00000011723 ENSOGAP00000004131
ENSOGAP00000011723 ENSOGAP00000022236
ENSOGAP00000011723 ENSOGAP00000009024
ENSOGAP00000011723 ENSOGAP00000016981
ENSOGAP00000011723 ENSOGAP00000020613
ENSOGAP00000011723 ENSOGAP00000014549
ENSOGAP00000011723 ENSOGAP00000018119
ENSOGAP00000011723 ENSOGAP00000006092
ENSOGAP00000011723 ENSOGAP00000021289
ENSOGAP00000011723 ENSOGAP00000016808
ENSOGAP00000011723 ENSOGAP00000015759
ENSOGAP00000011723 ENSOGAP00000018926
ENSOGAP00000011723 ENSOGAP00000006498
ENSOGAP00000011723 ENSOGAP00000020445
ENSOGAP00000011723 ENSOGAP00000021478
ENSOGAP00000011723 ENSOGAP00000018421
ENSOGAP00000011723 ENSOGAP00000007322
ENSOGAP00000011723 ENSOGAP00000001167
ENSOGAP00000011723 ENSOGAP00000004013
ENSOGAP00000011845 ENSOGAP00000020164
