MAL7P1.108 PFD0090c
MAL7P1.108 PF14_0343
MAL7P1.108 PFE1370w
MAL7P1.108 PFD0665c
MAL7P1.108 PF10_0115
MAL7P1.108 PFE0235c
MAL7P1.108 PFL1745c
MAL7P1.110 PFE1035c
MAL7P1.110 PF11_0358
MAL7P1.110 PF10_0121
MAL7P1.110 PFF1225c
MAL7P1.110 PFC0155c
MAL7P1.110 PFD0830w
MAL7P1.110 PF11_0282
MAL7P1.110 MAL13P1.301
MAL7P1.110 PFL1155w
MAL7P1.110 PFC0805w
MAL7P1.110 PF14_0207
MAL7P1.110 PFL2465c
MAL7P1.110 PFA0505c
MAL7P1.110 PF13_0150
MAL7P1.110 PFI1420w
MAL7P1.110 PF14_0695
MAL7P1.110 PF13_0040
MAL7P1.110 PF13_0349
MAL7P1.110 PF14_0366
MAL7P1.110 PF10_0225
MAL7P1.110 PFF0275c
MAL7P1.110 PFB0715w
MAL7P1.110 PF10_0363
MAL7P1.110 PFA0555c
MAL7P1.110 PFE0465c
MAL7P1.110 PFL0330c
MAL7P1.110 PFF1300w
MAL7P1.110 MAL13P1.213
MAL7P1.110 PF14_0672
MAL7P1.110 PF13_0023
MAL7P1.110 PF14_0100
MAL7P1.110 MAL13P1.146
MAL7P1.110 PF07_0027
MAL7P1.110 MAL13P1.290
MAL7P1.110 MAL13P1.118
MAL7P1.110 PFF1470c
MAL7P1.110 PFI1020c
MAL7P1.110 PFL0475w
MAL7P1.110 PFI1130c
MAL7P1.110 PFL0665c
MAL7P1.110 PF13_0287
MAL7P1.110 PF11_0058.1
MAL7P1.110 PF11_0445
MAL7P1.110 PFI0530c
MAL7P1.110 PFD0590c
MAL7P1.110 PF14_0602
MAL7P1.110 PF13_0341
MAL7P1.110 PFB0245c
MAL7P1.110 PF14_0150
MAL7P1.110 PFB0290c
MAL7P1.110 PFL1655c
MAL7P1.110 PF10_0269
MAL7P1.110 PF10_0123
MAL7P1.110 PF14_0112
MAL7P1.110 PFC0340w
MAL7P1.110 PF10_0165
MAL7P1.118 PF07_0029
MAL7P1.119 PF11_0506
MAL7P1.119 PF14_0487
MAL7P1.119 PFI0970c
MAL7P1.119 MAL8P1.152
MAL7P1.119 MAL13P1.14
MAL7P1.119 PF07_0024
MAL7P1.119 PFD0230c
MAL7P1.119 PFA0410w
MAL7P1.119 PF13_0050
MAL7P1.12 MAL7P1.147
MAL7P1.12 PFF1365c
MAL7P1.12 PFC0245c
MAL7P1.126 PFI0170w
MAL7P1.129 MAL13P1.148
MAL7P1.129 PFE1465w.1
MAL7P1.129 PFD1045c
MAL7P1.129 PFI0290c
MAL7P1.13 PFD0015c
MAL7P1.13 PFL1340c
MAL7P1.13 MAL7P1.24
MAL7P1.13 PF11_0315
MAL7P1.13 PFF0835w
MAL7P1.132 PF14_0294
MAL7P1.134 PF10_0114
