rrnAC0241 rrnB0246
rrnAC0241 rrnB0095
rrnAC0241 rrnAC3036
rrnAC0241 rrnAC2631
rrnAC0241 rrnAC2473
rrnAC0241 rrnB0092
rrnAC0241 rrnAC0201
rrnAC0246 rrnAC0184
rrnAC0249 rrnAC2630
rrnAC0249 rrnAC0545
rrnAC0249 rrnAC2522
rrnAC0249 rrnAC0772
rrnAC0249 rrnAC1138
rrnAC0249 rrnAC3429
rrnAC0249 rrnAC3210
rrnAC0249 rrnAC0345
rrnAC0249 rrnAC2572
rrnAC0249 rrnAC1881
rrnAC0254 rrnAC1231
rrnAC0254 rrnAC2840
rrnAC0254 rrnAC3063
rrnAC0254 rrnAC2716
rrnAC0254 rrnAC1236
rrnAC0254 rrnAC2508
rrnAC0254 rrnAC3348
rrnAC0254 rrnAC2414
rrnAC0254 rrnAC1233
rrnAC0254 rrnAC1800
rrnAC0254 rrnAC0255
rrnAC0254 rrnAC2408
rrnAC0254 rrnAC0137
rrnAC0255 rrnAC1233
rrnAC0255 rrnAC2414
rrnAC0255 rrnAC1800
rrnAC0255 rrnAC2408
rrnAC0255 rrnAC0137
rrnAC0255 rrnAC0254
rrnAC0255 rrnAC3348
rrnAC0255 rrnAC2508
rrnAC0255 rrnAC3063
rrnAC0255 rrnAC1231
rrnAC0255 rrnAC2840
rrnAC0255 rrnAC2716
rrnAC0255 rrnAC1236
rrnAC0259 rrnAC1314
rrnAC0259 rrnAC0106
rrnAC0259 rrnAC1187
rrnAC0259 rrnAC0546
rrnAC0259 rrnAC1232
rrnAC0259 rrnAC3471
rrnAC0259 rrnAC1776
rrnAC0260 rrnAC1602
rrnAC0260 rrnAC1608
rrnAC0260 rrnAC0103
rrnAC0260 rrnAC1596
rrnAC0260 rrnAC1601
rrnAC0260 rrnAC1414
rrnAC0260 rrnAC1417
rrnAC0260 rrnAC1598
rrnAC0260 rrnAC1611
rrnAC0260 rrnAC3514
rrnAC0260 rrnAC1609
rrnAC0260 rrnAC1606
rrnAC0260 rrnAC1593
rrnAC0260 rrnAC1669
rrnAC0260 rrnAC1594
rrnAC0260 rrnAC0064
rrnAC0260 rrnAC1590
rrnAC0260 rrnAC1595
rrnAC0260 rrnAC3113
rrnAC0260 rrnAC3112
rrnAC0260 rrnAC1604
rrnAC0260 rrnAC2357
rrnAC0260 rrnAC0104
rrnAC0260 rrnAC1591
rrnAC0260 rrnAC1610
rrnAC0260 rrnAC2065
rrnAC0260 rrnAC0065
rrnAC0265 rrnAC2015
rrnAC0267 rrnAC1283
rrnAC0267 rrnAC2924
rrnAC0267 rrnAC0514
rrnAC0267 rrnAC0189
rrnAC0267 rrnAC1274
rrnAC0267 rrnAC2139
rrnAC0267 rrnAC2659
rrnAC0267 rrnAC2699
rrnAC0267 rrnAC1694
rrnAC0267 rrnB0175
rrnAC0267 rrnB0283
rrnAC0267 rrnAC2493
rrnAC0267 rrnAC0748
rrnAC0267 rrnAC3472
rrnAC0272 rrnAC1791
rrnAC0273 rrnAC2166
rrnAC0282 rrnAC0226
rrnAC0282 rrnAC0448
rrnAC0282 rrnAC3434
rrnAC0282 rrnAC0514
rrnAC0282 rrnAC0894
rrnAC0282 rrnAC0446
rrnAC0292 rrnAC2844
rrnAC0292 rrnAC1720
rrnAC0302 rrnAC3121
rrnAC0302 rrnAC3071
rrnAC0302 rrnAC1690
rrnAC0302 rrnAC0329
rrnAC0302 rrnAC0332
rrnAC0302 rrnAC0711
rrnAC0302 rrnAC0878
rrnAC0307 rrnAC0797
rrnAC0307 rrnAC3272
rrnAC0307 rrnAC1109
rrnAC0307 rrnAC0189
rrnAC0320 rrnAC0081
rrnAC0320 rrnAC0175
rrnAC0320 rrnAC3484
rrnAC0321 rrnAC2069
rrnAC0329 rrnAC3230
rrnAC0329 rrnAC0719
rrnAC0329 rrnB0217
rrnAC0329 rrnB0200
rrnAC0329 rrnAC0650
rrnAC0329 rrnB0209
rrnAC0329 rrnAC3497
rrnAC0329 rrnB0198
rrnAC0329 rrnAC1341
rrnAC0329 rrnAC2957
rrnAC0329 rrnAC0472
rrnAC0329 rrnAC0711
rrnAC0329 rrnAC2955
rrnAC0329 rrnAC0718
rrnAC0329 rrnAC0336
rrnAC0329 rrnAC0330
rrnAC0329 rrnB0309
rrnAC0329 rrnAC2815
rrnAC0329 rrnAC1267
rrnAC0329 rrnAC0002
rrnAC0329 rrnB0242
rrnAC0329 rrnAC1268
rrnAC0329 rrnAC1795
rrnAC0329 rrnB0240
rrnAC0329 rrnAC3071
rrnAC0329 rrnAC0134
rrnAC0329 rrnAC1690
rrnAC0329 rrnB0263
rrnAC0329 rrnAC3228
rrnAC0329 rrnAC0331
rrnAC0329 rrnAC2956
rrnAC0329 rrnB0265
rrnAC0329 rrnAC0546
rrnAC0329 rrnAC0896
rrnAC0329 rrnAC0334
rrnAC0329 rrnAC1754
rrnAC0329 rrnAC0302
rrnAC0329 rrnAC0149
rrnAC0329 rrnB0199
rrnAC0329 rrnAC0474
rrnAC0330 rrnAC1267
rrnAC0330 rrnAC1231
rrnAC0330 rrnAC1795
rrnAC0330 rrnAC1268
rrnAC0330 rrnB0209
rrnAC0330 rrnAC0134
rrnAC0330 rrnAC1690
rrnAC0330 rrnAC0331
rrnAC0330 rrnAC2956
rrnAC0330 rrnAC0546
rrnAC0330 rrnAC0149
rrnAC0330 rrnAC1754
rrnAC0330 rrnB0199
rrnAC0330 rrnAC0719
rrnAC0330 rrnAC0329
rrnAC0330 rrnAC0340
rrnAC0330 rrnAC0332
rrnAC0330 rrnAC2508
rrnAC0330 rrnB0200
rrnAC0330 rrnAC2957
rrnAC0330 rrnAC0718
rrnAC0331 rrnAC0546
rrnAC0331 rrnB0199
rrnAC0331 rrnAC1754
rrnAC0331 rrnAC0149
rrnAC0331 rrnAC0719
rrnAC0331 rrnAC0329
rrnAC0331 rrnB0209
rrnAC0331 rrnAC0340
rrnAC0331 rrnAC0332
rrnAC0331 rrnAC0330
rrnAC0331 rrnAC2508
rrnAC0331 rrnB0200
rrnAC0331 rrnAC2957
rrnAC0331 rrnAC0718
rrnAC0331 rrnAC2956
rrnAC0331 rrnAC1267
rrnAC0331 rrnAC1231
rrnAC0331 rrnAC1795
rrnAC0331 rrnAC1268
rrnAC0331 rrnAC0134
rrnAC0331 rrnAC1690
rrnAC0332 rrnAC0134
rrnAC0332 rrnAC0331
rrnAC0332 rrnAC0302
rrnAC0332 rrnB0209
rrnAC0332 rrnAC0330
rrnAC0334 rrnAC2956
rrnAC0334 rrnAC0546
rrnAC0334 rrnAC0149
rrnAC0334 rrnAC1754
rrnAC0334 rrnB0199
rrnAC0334 rrnAC0719
rrnAC0334 rrnAC0329
rrnAC0334 rrnAC0340
rrnAC0334 rrnB0200
rrnAC0334 rrnAC2957
rrnAC0334 rrnAC0336
rrnAC0334 rrnAC0718
rrnAC0334 rrnAC1267
rrnAC0334 rrnAC1268
rrnAC0334 rrnAC1795
rrnAC0334 rrnAC1690
rrnAC0336 rrnAC0329
rrnAC0336 rrnAC0340
rrnAC0336 rrnB0200
rrnAC0336 rrnAC2957
rrnAC0336 rrnAC0718
rrnAC0336 rrnAC1267
rrnAC0336 rrnAC1268
rrnAC0336 rrnAC1795
rrnAC0336 rrnAC0149
rrnAC0336 rrnAC1690
rrnAC0336 rrnAC2956
rrnAC0336 rrnAC0546
rrnAC0336 rrnAC1754
rrnAC0336 rrnAC0334
rrnAC0336 rrnB0199
rrnAC0336 rrnAC0719
rrnAC0340 rrnAC0331
rrnAC0340 rrnAC0336
rrnAC0340 rrnAC1231
rrnAC0340 rrnAC0134
rrnAC0340 rrnAC0334
rrnAC0340 rrnB0209
rrnAC0340 rrnAC0330
rrnAC0340 rrnAC2508
rrnAC0342 rrnAC1881
rrnAC0342 rrnAC0772
rrnAC0342 rrnAC0345
rrnAC0342 rrnAC1138
rrnAC0342 rrnAC3210
rrnAC0345 rrnAC0546
rrnAC0345 rrnAC3210
rrnAC0345 rrnAC1138
rrnAC0345 rrnAC0537
rrnAC0345 rrnAC2741
rrnAC0345 rrnAC1267
rrnAC0345 rrnAC3121
rrnAC0345 rrnAC1268
rrnAC0345 rrnAC3403
rrnAC0345 rrnAC2859
rrnAC0345 rrnAC3429
rrnAC0345 rrnAC2956
rrnAC0345 rrnAC2262
rrnAC0345 rrnAC0149
rrnAC0345 rrnB0199
rrnAC0345 rrnAC0719
rrnAC0345 rrnAC1881
rrnAC0345 rrnAC0249
rrnAC0345 rrnAC0342
rrnAC0345 rrnAC0547
rrnAC0345 rrnAC0545
rrnAC0345 rrnB0200
rrnAC0345 rrnAC2957
rrnAC0345 rrnAC2305
rrnAC0345 rrnAC2363
rrnAC0345 rrnAC2522
rrnAC0345 rrnAC0718
rrnAC0345 rrnAC0772
rrnAC0345 rrnAC0069
rrnAC0359 rrnAC0657
rrnAC0365 rrnAC0207
rrnAC0365 rrnAC2408
rrnAC0365 rrnAC0960
rrnAC0365 rrnAC2663
rrnAC0382 rrnAC3036
rrnAC0382 rrnAC1793
rrnAC0382 rrnB0092
rrnAC0382 rrnAC2631
rrnAC0382 rrnB0219
