MAMP_02989 MAMP_02985
MAMP_02992 MAMP_02993
MAMP_02993 MAMP_02992
MAMP_03011 MAMP_03106
MAMP_03013 MAMP_03106
MAMP_03013 MAMP_03061
MAMP_03018 MAMP_00327
MAMP_03018 MAMP_02375
MAMP_03018 MAMP_01371
MAMP_03021 MAMP_00805
MAMP_03021 MAMP_02291
MAMP_03021 MAMP_01697
MAMP_03021 MAMP_00056
MAMP_03047 MAMP_03048
MAMP_03048 MAMP_03047
MAMP_03051 MAMP_00870
MAMP_03051 MAMP_00034
MAMP_03053 MAMP_03054
MAMP_03054 MAMP_03056
MAMP_03054 MAMP_03053
MAMP_03055 MAMP_03056
MAMP_03056 MAMP_03055
MAMP_03056 MAMP_03054
MAMP_03057 MAMP_01383
MAMP_03057 MAMP_01719
MAMP_03057 MAMP_02027
MAMP_03061 MAMP_03013
MAMP_03061 MAMP_03106
MAMP_03061 MAMP_01822
MAMP_03080 MAMP_03091
MAMP_03091 MAMP_03080
MAMP_03092 MAMP_02007
MAMP_03092 MAMP_02008
MAMP_03098 MAMP_02792
MAMP_03102 MAMP_00542
MAMP_03102 MAMP_02272
MAMP_03102 MAMP_01561
MAMP_03102 MAMP_02271
MAMP_03106 MAMP_03013
MAMP_03106 MAMP_03011
MAMP_03106 MAMP_03061
MAMP_03110 MAMP_03117
MAMP_03111 MAMP_03112
MAMP_03111 MAMP_01627
MAMP_03112 MAMP_03115
MAMP_03112 MAMP_03111
MAMP_03115 MAMP_01978
MAMP_03115 MAMP_03112
MAMP_03115 MAMP_03117
MAMP_03116 MAMP_03117
MAMP_03117 MAMP_03115
MAMP_03117 MAMP_03116
MAMP_03117 MAMP_03110
MAMP_03141 MAMP_02873
MAMP_03141 MAMP_01045
MAMP_03141 MAMP_00431
MAMP_03143 MAMP_02375
MAMP_03143 MAMP_00327
MAMP_03144 MAMP_01987
MAMP_03153 MAMP_02273
MAMP_03153 MAMP_01901
MAMP_03155 MAMP_00866
MAMP_03156 MAMP_00866
MAMP_03157 MAMP_00866
MAMP_03171 MAMP_00912
MAMP_03171 MAMP_00913
